name,pin,joined,address_postcode,address_county,address_country,profession,field_of_practice_when_joined_register,have_specialist_qualification_approved_by_nmc,specialist_qualification,date_registration_to_nmc,country_of_initial_training,date_of_qualification,country_of_initial_registration,nationality,diversity_gender,diversity_ethnicity,diversity_religion
"Gurreri, Jacob",65L5998B,2019-11-07 23:21:37,testpostcode1,N-on-existent,Scotland,Midwife,Mental health,FALSE,RM: Midwife,testdate1,England,testdate2,England,British,Other,NA,Muslim
"al-Salih, Kanaan",00U6189E,2019-12-11 15:45:22,testpostcode1,Nonexistentland,Northern Ireland,Nurse & Midwife,Adult,FALSE,"RN3: Mental health nurse, level 1",testdate1,England,testdate1,Northern Ireland,British,Female,NA,Sikh
"Forte, Emily",45S6426X,2019-10-31 06:08:06,testpostcode1,N-on-existent,Northern Ireland,Nurse & Midwife,Adult,FALSE,SPCC: Specialist practitioner: Community children’s nursing,testdate1,Outside UK,testdate2,Scotland,Other,Female,NA,Hindu
"Pham, Eunji",42Q6827E,2019-08-08 00:23:13,testpostcode1,Nonexistentland,England,Midwife,Mental health,TRUE,"NAR: Nursing associate",testdate2,Wales,testdate2,Northern Ireland,Other,Other,NA,Muslim
"Lyles, Ruth",96W3316G,2019-09-25 04:56:03,testpostcode1,N-on-existent,Northern Ireland,Nurse,Mental health,TRUE,V150: Community practitioner nurse prescriber (without SPQ or SCPHN),testdate2,Outside UK,testdate2,Scotland,Other,Male,NA,Hindu
"Collins, Jazmin Angel",45D9278C,2019-10-11 17:46:50,testpostcode1,Nonexistentshire,England,Nurse & Midwife,Adult,FALSE,TCH: Teacher,testdate2,Scotland,testdate2,Scotland,British,Male,NA,Jewish
"Weston, Lorrie",48R7671M,2019-09-15 09:59:31,testpostcode2,Nonexistentland,Scotland,Nurse & Midwife,Mental health,TRUE,"RN2: Adult nurse, level 2",testdate1,Wales,testdate1,Scotland,British,Other,NA,Sikh
"el-Shakir, Shamaail",20A4362N,2019-01-11 09:29:54,testpostcode1,Nonexistentland,Northern Ireland,Nurse,Mental health,TRUE,LPE: Lecturer / Practice educator,testdate2,Northern Ireland,testdate1,Scotland,Other,Male,NA,Other religion
"Webb, Elijah",04P1882K,2019-07-21 09:21:30,testpostcode2,Nonexistentshire,Northern Ireland,Nurse,Mental health,TRUE,RSN: School nurse,testdate2,Wales,testdate2,Northern Ireland,British,Female,NA,Jewish
"Gomez-Pedroza, Gabriel",88Z8651B,2019-01-06 11:35:27,testpostcode2,Nonexistentshire,England,Nurse & Midwife,Mental health,TRUE,SCLD: Specialist practitioner: Community learning disabilities nursing,testdate2,England,testdate2,Scotland,Other,Female,NA,Buddhist
"Martinez, Megan",11X0907G,2019-09-23 08:51:11,testpostcode1,Nonexistentland,Wales,Nurse & Midwife,Mental health,TRUE,"RN9: Fever nurse, level 2",testdate2,Northern Ireland,testdate2,Wales,Other,Female,NA,Other religion
"Chapman, Matthew",12C8604L,2019-10-17 12:28:34,testpostcode2,N-on-existent,Scotland,Nurse,Mental health,TRUE,"RN7: General nurse, level 2",testdate2,Wales,testdate1,Northern Ireland,Other,Other,NA,Other religion
"Simon, Jake",02K4210L,2019-03-11 02:16:40,testpostcode1,Nonexistentshire,Scotland,Midwife,Adult,FALSE,SPCC: Specialist practitioner: Community children’s nursing,testdate1,England,testdate1,Scotland,British,Male,NA,No religion
"Than, Yung",34X3958L,2019-12-08 04:58:41,testpostcode2,Nonexistentland,Scotland,Midwife,Mental health,FALSE,RFHN: Family health nurse,testdate2,Scotland,testdate2,England,British,Male,NA,Buddhist
"Colbert, Devaughn",58I4187I,2019-08-21 16:40:38,testpostcode1,Nonexistentshire,Wales,Midwife,Adult,FALSE,"RN3: Mental health nurse, level 1",testdate1,Wales,testdate1,Northern Ireland,British,Female,NA,Christian
"Grayes, Lanora",58X7455Z,2019-07-22 05:34:47,testpostcode2,N-on-existent,Wales,Nurse & Midwife,Adult,TRUE,"RN7: General nurse, level 2",testdate2,Wales,testdate1,Scotland,Other,Other,NA,Buddhist
"Tom, Nizhoni",38E3561O,2019-05-19 06:24:02,testpostcode1,Nonexistentshire,Northern Ireland,Midwife,Mental health,TRUE,V100: Community practitioner nurse prescriber,testdate1,Northern Ireland,testdate2,Wales,Other,Male,NA,Hindu
"al-Kamara, Habeeba",54Q5721K,2019-10-11 04:53:13,testpostcode1,Nonexistentshire,Wales,Nurse,Mental health,TRUE,"RNMH: Mental health nurse, level 1",testdate2,England,testdate2,Wales,Other,Female,NA,Muslim
"Littlefield, Isaac",02K8074Y,2019-06-18 20:45:07,testpostcode2,N-on-existent,England,Nurse & Midwife,Mental health,TRUE,"RN9: Fever nurse, level 2",testdate2,England,testdate2,Wales,Other,Female,NA,Other religion
"al-Khalil, Kawkab",57P4874Y,2019-04-07 13:00:50,testpostcode2,Nonexistentshire,Wales,Midwife,Adult,FALSE,"RN2: Adult nurse, level 2",testdate2,Outside UK,testdate2,Wales,British,Female,NA,No religion
"Naseri, Courtney",60I1595P,2019-07-18 20:53:40,testpostcode2,Nonexistentland,Wales,Midwife,Adult,TRUE,"RN1: Adult nurse, level 1",testdate1,Outside UK,testdate2,Wales,Other,Male,NA,Hindu
"Mcgrew-Springs, Cimarron",09Q3722G,2019-09-02 23:39:38,testpostcode1,Nonexistentland,Wales,Nurse & Midwife,Adult,FALSE,SCLD: Specialist practitioner: Community learning disabilities nursing,testdate2,Wales,testdate1,Scotland,Other,Male,NA,Jewish
"Cunningham, Daniel",76H1480Z,2019-03-27 03:37:41,testpostcode1,Nonexistentshire,Wales,Nurse,Adult,TRUE,SPCC: Specialist practitioner: Community children’s nursing,testdate1,Scotland,testdate2,Scotland,Other,Female,NA,Jewish
"Hartigan, Erin",36E6574Q,2019-06-11 20:54:05,testpostcode1,Nonexistentland,Northern Ireland,Nurse & Midwife,Mental health,FALSE,V300: Nurse independent / supplementary prescriber,testdate1,Northern Ireland,testdate1,Northern Ireland,British,Other,NA,Jewish
"Leija, Rebeca",39N3197D,2019-04-09 23:57:47,testpostcode2,Nonexistentshire,Wales,Midwife,Mental health,FALSE,"RN3: Mental health nurse, level 1",testdate1,England,testdate1,Wales,British,Male,NA,No religion
"Kee, Kenneth",58M6900R,2019-11-10 04:32:16,testpostcode1,Nonexistentshire,Northern Ireland,Nurse,Adult,TRUE,HV: Health visitor,testdate2,England,testdate1,Northern Ireland,British,Male,NA,Jewish
"Plum, Mitchell",85M2692G,2019-06-11 18:48:34,testpostcode2,Nonexistentshire,England,Midwife,Mental health,TRUE,SPGP: Specialist practitioner: General practice nursing,testdate2,Northern Ireland,testdate1,Scotland,British,Female,NA,Buddhist
"el-Ramadan, Mumina",69V6093I,2019-12-17 10:52:55,testpostcode1,Nonexistentland,England,Nurse,Mental health,TRUE,HV: Health visitor,testdate2,Northern Ireland,testdate1,Northern Ireland,Other,Male,NA,Muslim
"al-Kaleel, Mu'hsina",84L2675P,2019-09-03 18:49:24,testpostcode1,N-on-existent,England,Nurse,Mental health,FALSE,RPHN: Specialist community public health nurse,testdate1,England,testdate1,Wales,Other,Male,NA,Muslim
"Martinez, Dyani",02A9782L,2019-04-05 11:28:40,testpostcode1,N-on-existent,Scotland,Nurse & Midwife,Adult,FALSE,RFHN: Family health nurse,testdate1,Scotland,testdate1,Scotland,Other,Male,NA,Buddhist
"Zhao, Sainyane",41L9230B,2019-07-27 08:20:58,testpostcode1,Nonexistentland,Wales,Nurse,Mental health,TRUE,"RN4: Mental health nurse, level 2",testdate2,Scotland,testdate1,England,British,Female,NA,Muslim
"Selden, Richard",64H8443A,2019-06-08 13:14:27,testpostcode1,Nonexistentshire,Northern Ireland,Midwife,Mental health,FALSE,SPGP: Specialist practitioner: General practice nursing,testdate2,Northern Ireland,testdate2,Wales,British,Male,NA,No religion
"el-Mina, Aakif",65P6247T,2019-06-08 12:53:30,testpostcode1,Nonexistentland,England,Nurse,Mental health,FALSE,OH: Occupational health nurse,testdate1,England,testdate1,England,Other,Other,NA,Sikh
"Lucero, Malcolm",33O0817M,2019-08-09 01:58:53,testpostcode1,N-on-existent,England,Nurse & Midwife,Mental health,TRUE,SPMH: Specialist practitioner: Mental health,testdate1,Wales,testdate1,England,Other,Male,NA,Other religion
"el-Kassem, Mu'mina",79A9132Y,2019-06-17 10:47:39,testpostcode1,Nonexistentshire,England,Midwife,Mental health,FALSE,"NAR: Nursing associate",testdate2,England,testdate1,Wales,Other,Other,NA,No religion
"al-Naim, Shaqeeqa",36B3688P,2019-06-03 14:16:09,testpostcode1,Nonexistentshire,Northern Ireland,Nurse & Midwife,Adult,TRUE,"RNC: Children's nurse, level 1",testdate2,England,testdate1,Scotland,British,Male,NA,Jewish
"Nunez, Tobias",18S6176F,2019-02-27 00:48:34,testpostcode1,N-on-existent,England,Midwife,Mental health,TRUE,SPC: Specialist practitioner: Children's nursing,testdate2,Outside UK,testdate2,Scotland,British,Female,NA,Other religion
"Ahmed, Dietrich",84J4810R,2019-12-28 03:29:52,testpostcode1,Nonexistentshire,England,Nurse,Mental health,TRUE,"RN2: Adult nurse, level 2",testdate1,Northern Ireland,testdate1,England,Other,Other,NA,Muslim
"Quick, Zackarie",68U0211R,2019-09-20 01:00:00,testpostcode2,Nonexistentland,Wales,Nurse & Midwife,Adult,TRUE,"RN8: Children's nurse, level 1",testdate2,Outside UK,testdate2,Wales,Other,Male,NA,No religion
"Craft, Ed'Lexus",13V2712B,2019-11-21 15:15:04,testpostcode2,N-on-existent,England,Nurse,Mental health,FALSE,"RNLD: Learning disabilities nurse, level 1",testdate1,England,testdate1,Scotland,Other,Male,NA,Sikh
"Santoyo, Alex",64A4404D,2019-02-04 11:57:53,testpostcode1,Nonexistentland,Wales,Nurse,Adult,FALSE,"RN8: Children's nurse, level 1",testdate2,Outside UK,testdate1,Northern Ireland,Other,Female,NA,Religion not stated
"Bernard, Christopher",77Q1771T,2019-07-20 19:10:22,testpostcode2,Nonexistentland,Scotland,Nurse & Midwife,Adult,FALSE,"RN2: Adult nurse, level 2",testdate2,Scotland,testdate1,Wales,British,Female,NA,Buddhist
"Chapman, Matthew",73C7785T,2019-11-21 02:18:49,testpostcode2,Nonexistentland,England,Nurse,Adult,FALSE,RHV: Health visitor,testdate2,Northern Ireland,testdate2,Scotland,British,Other,NA,Christian
"al-Ammar, Shahaama",61I2359D,2019-01-02 18:51:01,testpostcode2,Nonexistentland,Northern Ireland,Nurse,Adult,TRUE,"RN8: Children's nurse, level 1",testdate1,Scotland,testdate1,Scotland,British,Male,NA,Sikh
"Dockary, Naaamorkor",96A6856V,2019-10-23 17:56:20,testpostcode1,N-on-existent,Scotland,Nurse,Adult,TRUE,SCMH: Specialist practitioner: Community mental health nursing,testdate1,Outside UK,testdate2,Northern Ireland,British,Male,NA,Buddhist
"Tolutau, Ronak",26T4657V,2019-09-16 13:01:20,testpostcode2,Nonexistentshire,Scotland,Nurse & Midwife,Mental health,TRUE,"RN5: Learning disabilities nurse, level 1",testdate2,Wales,testdate2,Northern Ireland,British,Other,NA,Sikh
"Cordova, Brandon",85I9384Q,2019-12-17 11:11:20,testpostcode2,Nonexistentland,Northern Ireland,Nurse,Adult,FALSE,"RNC: Children's nurse, level 1",testdate2,Northern Ireland,testdate1,England,Other,Other,NA,Religion not stated
"Mcclaskey, Blake",23G3550X,2019-06-11 00:50:32,testpostcode2,N-on-existent,England,Nurse,Adult,FALSE,"RNLD: Learning disabilities nurse, level 1",testdate1,England,testdate2,England,Other,Other,NA,Religion not stated
"Yepez, Ruben",08A5218P,2019-04-13 02:37:38,testpostcode1,Nonexistentshire,Northern Ireland,Midwife,Mental health,TRUE,LPE: Lecturer / Practice educator,testdate2,Scotland,testdate1,Scotland,Other,Other,NA,Muslim
"Ornelas Romero, Oscar",11M5147S,2019-08-31 23:37:17,testpostcode1,Nonexistentshire,Scotland,Midwife,Adult,TRUE,V100: Community practitioner nurse prescriber,testdate2,Outside UK,testdate1,Northern Ireland,British,Female,NA,Muslim
"Dewberry, Jaliya",67K7147H,2019-04-22 05:19:57,testpostcode2,Nonexistentland,Northern Ireland,Nurse & Midwife,Adult,FALSE,RFHN: Family health nurse,testdate1,Scotland,testdate1,Northern Ireland,Other,Other,NA,Jewish
"Graham, Cheyenne",99G0598D,2019-06-01 02:01:38,testpostcode1,Nonexistentland,Wales,Midwife,Adult,TRUE,RM: Midwife,testdate1,England,testdate2,Scotland,Other,Female,NA,Jewish
"Diep, Cheemeng",97K4782U,2019-08-17 02:59:12,testpostcode2,N-on-existent,Northern Ireland,Nurse,Adult,TRUE,SCMH: Specialist practitioner: Community mental health nursing,testdate2,England,testdate2,Wales,British,Other,NA,No religion
"Jackson, D'Andre",48M7061P,2019-10-01 14:27:33,testpostcode1,Nonexistentshire,Wales,Nurse,Mental health,TRUE,V150: Community practitioner nurse prescriber (without SPQ or SCPHN),testdate2,Outside UK,testdate1,Scotland,Other,Other,NA,Jewish
"Garcia, Kevin",70R8976F,2019-02-09 06:12:56,testpostcode2,N-on-existent,England,Nurse,Adult,TRUE,HV: Health visitor,testdate1,Outside UK,testdate1,Wales,Other,Male,NA,Jewish
"Pardner, Dawnae",56W8162E,2019-06-29 06:25:35,testpostcode2,Nonexistentland,England,Midwife,Adult,FALSE,SN: School nurse,testdate1,Scotland,testdate1,Scotland,British,Male,NA,Sikh
"Kulkarni, Cynthia",91L6710W,2019-01-22 19:44:52,testpostcode1,Nonexistentland,Wales,Midwife,Adult,TRUE,"RN4: Mental health nurse, level 2",testdate2,Wales,testdate1,England,Other,Other,NA,Buddhist
"Mcgary, Josiah",35M4959V,2019-11-15 14:04:14,testpostcode2,N-on-existent,England,Midwife,Adult,FALSE,SN: School nurse,testdate1,England,testdate2,England,British,Male,NA,Jewish
"Mendoza, Daniel",28B5269J,2019-09-12 14:48:50,testpostcode1,Nonexistentland,Wales,Nurse & Midwife,Mental health,TRUE,RM: Midwife,testdate2,Outside UK,testdate1,Wales,Other,Other,NA,Other religion
"Bennett, Stephen",92J1401J,2019-01-12 07:23:15,testpostcode2,Nonexistentland,Wales,Midwife,Adult,TRUE,"RN8: Children's nurse, level 1",testdate1,Scotland,testdate1,England,Other,Male,NA,Jewish
"Baca, Emily",37L7245P,2019-01-27 17:28:50,testpostcode1,N-on-existent,Northern Ireland,Midwife,Adult,FALSE,SPA: Specialist practitioner: Adult nursing,testdate1,Outside UK,testdate2,Wales,Other,Other,NA,No religion
"Zuniga Guillen, Juan",53C1284Y,2019-09-14 06:43:56,testpostcode1,Nonexistentland,Wales,Nurse,Adult,TRUE,HV: Health visitor,testdate2,Northern Ireland,testdate1,Scotland,British,Male,NA,Buddhist
"al-Naqvi, Aslam",71X7789R,2019-08-28 14:02:47,testpostcode2,N-on-existent,England,Nurse,Mental health,FALSE,"RN5: Learning disabilities nurse, level 1",testdate1,Northern Ireland,testdate2,England,British,Female,NA,Sikh
"al-Can, Waliyya",63P7858E,2019-02-22 03:04:32,testpostcode2,Nonexistentland,Scotland,Nurse & Midwife,Mental health,FALSE,SPDN: Specialist practitioner: District nursing,testdate1,Outside UK,testdate1,Wales,British,Female,NA,Buddhist
"el-Ghani, Taiseer",58I4187I,2019-03-27 20:25:02,testpostcode2,N-on-existent,Scotland,Nurse,Mental health,TRUE,"RNMH: Mental health nurse, level 1",testdate1,England,testdate2,England,British,Other,NA,Religion not stated
"al-Neman, Husain",48D4287H,2019-12-28 22:01:00,testpostcode1,Nonexistentland,England,Midwife,Mental health,TRUE,"RN8: Children's nurse, level 1",testdate1,Northern Ireland,testdate2,Scotland,Other,Other,NA,Muslim
"el-Jalil, Waheeba",26U6488Z,2019-07-10 11:05:54,testpostcode2,N-on-existent,Northern Ireland,Nurse,Adult,FALSE,"RN1: Adult nurse, level 1",testdate2,England,testdate1,England,British,Other,NA,No religion
"Herold, Nicole",62O7925P,2019-01-12 07:23:15,testpostcode1,Nonexistentland,Scotland,Nurse,Mental health,TRUE,"RN5: Learning disabilities nurse, level 1",testdate1,England,testdate2,Wales,Other,Other,NA,No religion
"Smith, Amanda",40V0121U,2019-09-12 20:46:42,testpostcode2,Nonexistentland,Wales,Nurse,Mental health,FALSE,SPGP: Specialist practitioner: General practice nursing,testdate1,England,testdate1,England,Other,Female,NA,Religion not stated
"Arguello, Alejandro",37N1716P,2019-01-10 10:08:41,testpostcode1,N-on-existent,Wales,Midwife,Mental health,TRUE,"RN1: Adult nurse, level 1",testdate2,Scotland,testdate2,Scotland,British,Male,NA,Jewish
"Ju, Charell",25R6206J,2019-04-06 18:46:50,testpostcode2,N-on-existent,Scotland,Nurse,Adult,FALSE,"RN8: Children's nurse, level 1",testdate1,Wales,testdate2,Scotland,Other,Male,NA,No religion
"Reitinger, Brandon",38B2040O,2019-12-26 23:22:28,testpostcode1,N-on-existent,Wales,Midwife,Adult,FALSE,SPGP: Specialist practitioner: General practice nursing,testdate2,Northern Ireland,testdate1,Wales,Other,Male,NA,Buddhist
"al-Akhter, Raaid",71I1444X,2019-07-02 17:53:41,testpostcode2,N-on-existent,Wales,Nurse & Midwife,Mental health,TRUE,RM: Midwife,testdate2,Scotland,testdate1,Northern Ireland,British,Female,NA,Hindu
"Chavez, Ashley",03L4266D,2019-09-30 11:15:09,testpostcode2,N-on-existent,England,Nurse & Midwife,Adult,TRUE,RPHN: Specialist community public health nurse,testdate1,Scotland,testdate2,Wales,British,Other,NA,Buddhist
"Lynch, Kaitlin",47A1108L,2019-02-06 10:46:43,testpostcode2,Nonexistentshire,Wales,Nurse,Mental health,FALSE,SPCC: Specialist practitioner: Community children’s nursing,testdate2,England,testdate2,England,Other,Other,NA,Religion not stated
"Hernandez, Lorenzo",19R0831I,2019-12-06 11:46:04,testpostcode1,Nonexistentshire,Wales,Nurse & Midwife,Mental health,TRUE,SPLD: Specialist practitioner: Learning disability nurse,testdate2,Wales,testdate1,Wales,British,Other,NA,Buddhist
"Hull, Deangelo",00G5625A,2019-05-13 13:12:07,testpostcode1,Nonexistentshire,Northern Ireland,Nurse,Mental health,TRUE,"RNA: Adult nurse, level 1",testdate1,Wales,testdate2,Scotland,Other,Male,NA,Buddhist
"el-Can, Azza",51K1707Q,2019-09-18 03:40:08,testpostcode2,Nonexistentshire,Scotland,Nurse & Midwife,Adult,FALSE,SPGP: Specialist practitioner: General practice nursing,testdate1,Outside UK,testdate1,Northern Ireland,Other,Other,NA,Buddhist
"Scally, Jacob",00D4348C,2019-06-05 21:44:33,testpostcode2,N-on-existent,Scotland,Nurse & Midwife,Adult,FALSE,V200: Nurse independent prescriber (extended formulary),testdate1,Wales,testdate2,England,British,Female,NA,Christian
"Montoya, Michael",48L5934M,2019-12-18 04:10:11,testpostcode1,Nonexistentshire,England,Nurse,Mental health,FALSE,"RNA: Adult nurse, level 1",testdate1,Wales,testdate2,England,Other,Female,NA,Other religion
"Stone, Michaela",60X7939Q,2019-08-05 19:31:48,testpostcode1,N-on-existent,England,Nurse & Midwife,Mental health,TRUE,SCMH: Specialist practitioner: Community mental health nursing,testdate2,Wales,testdate1,Scotland,Other,Other,NA,No religion
"Valdo, Anfernee",82L6896M,2019-12-17 02:42:04,testpostcode1,N-on-existent,England,Nurse & Midwife,Mental health,TRUE,"RN5: Learning disabilities nurse, level 1",testdate1,Scotland,testdate1,Wales,British,Other,NA,Buddhist
"Ornelas-Lozano, Jesse",06X2763N,2019-01-07 09:17:46,testpostcode1,Nonexistentland,Wales,Nurse,Mental health,FALSE,ROH: Occupational health nurse,testdate2,Northern Ireland,testdate1,England,British,Female,NA,Buddhist
"Rodrigues, Geneveive",48M7061P,2019-01-25 03:38:09,testpostcode2,Nonexistentland,England,Nurse,Mental health,TRUE,V100: Community practitioner nurse prescriber,testdate1,Outside UK,testdate1,Northern Ireland,British,Male,NA,Muslim
"Carter, David",11M4617G,2019-05-24 22:06:53,testpostcode2,Nonexistentland,Northern Ireland,Nurse,Adult,FALSE,"RN4: Mental health nurse, level 2",testdate1,Scotland,testdate2,Wales,British,Male,NA,Muslim
"Smith, Taylor",05H0076D,2019-09-17 00:38:43,testpostcode1,N-on-existent,Wales,Nurse,Adult,TRUE,SPGP: Specialist practitioner: General practice nursing,testdate2,Scotland,testdate2,England,British,Other,NA,Jewish
"Lytle, Kursh",02B2603P,2019-05-02 05:23:55,testpostcode2,Nonexistentland,Wales,Midwife,Adult,FALSE,RM: Midwife,testdate2,Wales,testdate2,England,British,Male,NA,Jewish
"Gilmore, Stafon",32A5616B,2019-05-22 14:57:03,testpostcode1,Nonexistentshire,England,Nurse & Midwife,Mental health,TRUE,SN: School nurse,testdate2,Outside UK,testdate2,Northern Ireland,British,Other,NA,Other religion
"el-Faris, Ramalaan",31B2424A,2019-03-31 22:47:56,testpostcode1,Nonexistentland,Northern Ireland,Nurse,Adult,TRUE,"RN2: Adult nurse, level 2",testdate2,Northern Ireland,testdate1,Scotland,British,Male,NA,Buddhist
"el-Mostafa, Taariq",56X6357H,2019-09-03 15:41:10,testpostcode1,N-on-existent,Northern Ireland,Nurse,Adult,TRUE,SPLD: Specialist practitioner: Learning disability nurse,testdate2,Outside UK,testdate1,Wales,British,Male,NA,Christian
"Bruch, Jarid",34T9935H,2019-10-04 01:11:37,testpostcode1,Nonexistentland,Scotland,Nurse,Mental health,FALSE,"RN9: Fever nurse, level 2",testdate2,England,testdate2,Wales,Other,Other,NA,No religion
"Stingerie, Nina",32J9760K,2019-10-29 18:36:27,testpostcode1,Nonexistentland,Scotland,Midwife,Mental health,FALSE,"RNA: Adult nurse, level 1",testdate2,Scotland,testdate1,England,Other,Female,NA,Other religion
"Euell, T Aira",61N7163S,2019-09-14 02:05:36,testpostcode1,N-on-existent,Scotland,Nurse & Midwife,Mental health,TRUE,"RNMH: Mental health nurse, level 1",testdate2,Scotland,testdate2,Northern Ireland,British,Female,NA,No religion
"Gardner, David",13N9470R,2019-04-17 07:33:11,testpostcode2,Nonexistentland,Wales,Nurse & Midwife,Mental health,TRUE,SPDN: Specialist practitioner: District nursing,testdate1,Northern Ireland,testdate2,Scotland,Other,Female,NA,Hindu
"el-Naderi, Saajida",25N2087Q,2019-01-24 15:55:07,testpostcode2,N-on-existent,Northern Ireland,Nurse,Adult,FALSE,SPDN: Specialist practitioner: District nursing,testdate2,Outside UK,testdate1,Scotland,Other,Female,NA,Jewish
"el-Hashim, Hamda",81O9698Z,2019-03-23 11:42:45,testpostcode1,Nonexistentshire,Scotland,Nurse & Midwife,Mental health,FALSE,HV: Health visitor,testdate1,England,testdate1,England,Other,Male,NA,Jewish
"Sells, Tracie",08E6710E,2019-01-04 15:45:07,testpostcode1,Nonexistentshire,Scotland,Midwife,Mental health,TRUE,LPE: Lecturer / Practice educator,testdate2,Scotland,testdate2,Scotland,Other,Other,NA,Muslim
"Weaver, Matthew",94M2793X,2019-11-23 12:44:15,testpostcode2,N-on-existent,Wales,Nurse & Midwife,Adult,TRUE,"RN1: Adult nurse, level 1",testdate1,Outside UK,testdate1,Scotland,British,Other,NA,Religion not stated
"Varney, Melissa",96Q4198O,2019-12-16 19:55:40,testpostcode2,Nonexistentshire,Wales,Midwife,Mental health,TRUE,RHV: Health visitor,testdate2,England,testdate1,England,British,Other,NA,Muslim
"Whitecalf, Jordan",24P9436O,2019-01-18 21:52:59,testpostcode1,Nonexistentland,Northern Ireland,Midwife,Mental health,TRUE,V150: Community practitioner nurse prescriber (without SPQ or SCPHN),testdate2,Wales,testdate2,Wales,British,Other,NA,Religion not stated
"Mayhan, Alexandrea",30C2858B,2019-10-31 03:48:07,testpostcode2,Nonexistentshire,England,Nurse & Midwife,Mental health,TRUE,"RN9: Fever nurse, level 2",testdate1,Wales,testdate2,England,British,Male,NA,Religion not stated
"Lackore, Emily",70W9223D,2019-08-01 16:17:17,testpostcode2,Nonexistentland,England,Midwife,Adult,FALSE,ROH: Occupational health nurse,testdate1,Northern Ireland,testdate1,Scotland,Other,Other,NA,Jewish
"Lynch, Samuel",88P5547V,2019-05-19 22:49:22,testpostcode1,N-on-existent,England,Midwife,Mental health,FALSE,OH: Occupational health nurse,testdate2,Outside UK,testdate1,Northern Ireland,Other,Male,NA,Other religion
"Booth, Ianna",62Y1498N,2019-07-30 11:54:32,testpostcode2,Nonexistentland,Scotland,Nurse,Adult,TRUE,SPCC: Specialist practitioner: Community children’s nursing,testdate1,Northern Ireland,testdate2,Northern Ireland,Other,Other,NA,Sikh
"Romero, Richard",66C6333Q,2019-08-13 22:01:42,testpostcode2,Nonexistentshire,Scotland,Nurse,Mental health,FALSE,"RN6: Learning disabilities nurse, level 2",testdate2,Northern Ireland,testdate2,Northern Ireland,Other,Female,NA,Hindu
"Day, Drew",69T9480B,2019-08-02 20:22:05,testpostcode1,Nonexistentland,Scotland,Midwife,Adult,TRUE,SPMH: Specialist practitioner: Mental health,testdate1,Wales,testdate1,England,Other,Male,NA,Buddhist
"Armbruster, Jalen",58D4810D,2019-01-09 11:34:29,testpostcode1,N-on-existent,England,Nurse & Midwife,Mental health,FALSE,"RNMH: Mental health nurse, level 1",testdate1,Wales,testdate1,Wales,Other,Other,NA,Buddhist
"Sharp, Nakia",17Q8991R,2019-10-21 06:45:55,testpostcode2,N-on-existent,Wales,Nurse,Mental health,TRUE,RFHN: Family health nurse,testdate2,England,testdate2,Northern Ireland,British,Male,NA,Religion not stated
"el-Nagi, Idrees",28S8462N,2019-03-31 13:03:28,testpostcode1,Nonexistentland,England,Nurse & Midwife,Mental health,TRUE,FHN: Family health nurse,testdate2,England,testdate2,Northern Ireland,Other,Female,NA,Other religion
"Miller, Tyler",68C7701Q,2019-04-15 14:02:28,testpostcode2,N-on-existent,England,Nurse,Adult,TRUE,"RNC: Children's nurse, level 1",testdate1,Northern Ireland,testdate1,Wales,British,Other,NA,No religion
"Stallsworth, David",37T3240M,2019-11-18 17:59:12,testpostcode2,Nonexistentshire,Northern Ireland,Nurse,Adult,FALSE,"RN2: Adult nurse, level 2",testdate1,Wales,testdate1,Northern Ireland,British,Other,NA,Religion not stated
"O'Neill, Makenzie",25C4471M,2019-05-21 10:21:02,testpostcode1,Nonexistentshire,England,Nurse & Midwife,Adult,FALSE,"RN1: Adult nurse, level 1",testdate1,Northern Ireland,testdate2,Northern Ireland,Other,Other,NA,No religion
"Talbot, Madison",50R4759U,2019-11-12 12:29:22,testpostcode1,Nonexistentland,Scotland,Midwife,Adult,FALSE,SPGP: Specialist practitioner: General practice nursing,testdate1,Northern Ireland,testdate1,Scotland,British,Male,NA,No religion
"al-Qazi, Nabeeha",89C8942J,2019-04-25 13:34:39,testpostcode2,Nonexistentland,England,Nurse & Midwife,Adult,FALSE,SCMH: Specialist practitioner: Community mental health nursing,testdate2,Northern Ireland,testdate1,Wales,British,Female,NA,Buddhist
"Kennedy, Taylor",48L1848O,2019-06-29 23:17:01,testpostcode2,Nonexistentshire,England,Nurse,Adult,TRUE,RM: Midwife,testdate2,Scotland,testdate2,England,British,Other,NA,Jewish
"Taylor, Marie-Pearl",07R5092W,2019-04-07 13:00:50,testpostcode1,Nonexistentshire,Northern Ireland,Midwife,Adult,TRUE,HV: Health visitor,testdate1,Outside UK,testdate2,Northern Ireland,British,Female,NA,Other religion
"el-Muhammad, Shaheed",46U2312W,2019-10-26 15:47:26,testpostcode2,Nonexistentshire,Scotland,Nurse & Midwife,Adult,FALSE,SPA: Specialist practitioner: Adult nursing,testdate1,England,testdate1,England,Other,Female,NA,Other religion
"Simental, Trevor",02F4691X,2019-09-23 12:28:46,testpostcode1,N-on-existent,England,Nurse & Midwife,Adult,TRUE,SPC: Specialist practitioner: Children's nursing,testdate1,Scotland,testdate1,Wales,Other,Other,NA,Religion not stated
