name,pin,joined,reason_for_leaving
"Baca, Emily",80F2012A,2019-10-18 20:32:33,NA
"al-Irani, Raaida",69E9701C,2019-10-15 16:28:03,NA
"Waterman, Danielle",77N6383B,2019-03-09 17:16:11,NA
"Lo, Dylan",38Y6600P,2019-06-19 20:44:23,NA
"el-Yousuf, Daif",98T2759Y,2019-03-13 18:53:32,NA
"Young, Noe",63E4033D,2019-08-20 21:52:12,NA
"el-Azzi, Aamina",59L1663Z,2019-09-16 04:21:19,NA
"Steege, Jessica",66G7780U,2019-12-25 01:55:45,NA
"Mercer, Harley",79W4560D,2019-03-30 06:53:20,NA
"Jones, Isidra",49X0378U,2019-12-15 16:05:24,NA
"al-Javed, Mutee'a",35R1117F,2019-01-18 16:12:15,NA
"Howe, Ella",89X4534X,2019-05-09 15:34:41,NA
"Myung, Erika",77L2763Z,2019-01-12 00:29:37,NA
"Ruiz, Joseph",33B8451P,2019-10-02 05:35:19,NA
"el-Ramadan, Mumina",84M2074A,2019-07-09 02:19:56,NA
"Tafoya, Samantha",27Q9149U,2019-09-29 09:20:04,NA
"Mccarthy, Ryan",82U5827W,2019-01-09 23:18:22,NA
"Valdez, Carlos",19K9947F,2019-12-23 22:58:23,NA
"el-Ayub, Awda",10F9104L,2019-03-22 10:39:46,NA
"Hart III, Tanner",73F0177E,2019-09-12 10:30:52,NA
"Trice, Alyssa",13Q8655Y,2019-08-24 22:11:16,NA
"Vang, Victoria",83I3882E,2019-09-26 04:20:08,NA
"Mcateer, Taylor",89Z1286N,2019-07-06 03:17:18,NA
"Girardin, Ethan",63Y5447L,2019-07-10 21:17:58,NA
"Linnie, Dasj'On",26T4657V,2019-03-01 11:12:30,NA
"Gonzalez, Caylan",23B1738R,2019-06-12 20:27:50,NA
"al-Soltani, Zubaida",53Q3827N,2019-09-17 08:55:36,NA
"Mangisel, Macie",03Z7393B,2019-03-09 14:17:34,NA
"Werbach, Jacob",69I2489U,2019-03-31 11:14:08,NA
"al-Javed, Rafeeda",16K3942O,2019-02-01 05:40:16,NA
"Pereyra, Nicholas",66B1981K,2019-03-18 08:47:16,NA
"Gentry, Joshua",44B4239E,2019-03-25 22:28:37,NA
"Magoon, Mackenzie",43Y3402L,2019-09-17 10:38:05,NA
"al-Rashid, Rifat",32V0856T,2019-12-08 15:21:03,NA
"Johnson, Christian",38C2894H,2019-08-18 21:30:12,NA
"Brady, Angelica",49K2518E,2019-01-27 11:50:45,NA
"Pourier, Samuel",59I1395Y,2019-12-27 09:27:58,NA
"Crowghost, Addison",54V9328J,2019-10-22 05:45:35,NA
"Hopper, Schiara",09W4121N,2019-10-11 02:34:15,NA
"Yankana, Elizabeth",28E2370P,2019-11-02 03:07:11,NA
"Perez II, Brennan",10A5142X,2018-12-31 21:38:40,NA
"el-Toure, Fawzi",88E3589M,2019-09-22 18:17:44,NA
"al-Mousa, Haani",32K0992P,2019-10-16 14:09:55,NA
"Baca, Alexander",44Q4621U,2019-03-21 05:52:35,NA
"Roberts, Adrena",95D8681Z,2019-07-27 19:25:12,NA
"Hammer, Christian",21L9794Y,2019-01-16 06:39:55,NA
"Reeder, Jevonda",86O3984C,2019-07-12 07:01:51,NA
"Yuan, Alisa",56R4519U,2019-12-17 23:29:36,NA
"Marchiano, Alexander",56Y9076P,2019-05-02 22:08:47,NA
"Stroud, Megan",10Z9064D,2019-09-17 06:58:51,NA
"el-Sahli, Saalima",04U2334N,2019-08-28 05:52:27,NA
"Kaufman, Charell",43U9431H,2019-11-15 03:01:03,NA
"el-Eid, Widdad",86K3052M,2019-07-29 08:48:42,NA
"Wright, David",32L1262A,2019-04-29 04:05:18,NA
"Walker, Tammarrah",94Z9293D,2019-08-06 22:28:06,NA
"Snow, Andrew",96O2269V,2019-03-01 11:12:30,NA
"Jones, Jose",07F0880E,2019-09-11 21:21:45,NA
"Grano, Hae",99B5213D,2019-01-30 04:29:18,NA
"Lechuga, David",84Y0600P,2019-10-23 00:16:38,NA
"Herrera, Jennifer",98E9907J,2019-08-30 03:29:33,NA
"Trinh, Minkyung",91R2115T,2019-05-18 15:10:02,NA
"Farmer, Shania",53I9182T,2019-03-08 07:47:51,NA
"Ceballos, Monserrat",79W8446X,2019-07-14 09:10:32,NA
"Monnet, Alleah",04Y6371L,2019-02-27 10:09:00,NA
"Bajwa, Andrea",54Z1431L,2019-01-10 02:33:39,NA
"Cheung, Son",02T3899X,2019-08-09 01:56:31,NA
"Cortez, Anastasia",79K4316I,2019-12-28 07:47:49,NA
"Mccowan-Voker, Patricia",16C5350L,2019-04-20 13:53:36,NA
"Phenna, Daniel",20T0392P,2019-02-06 10:46:43,NA
"Billiamosa, Nastaran",05R9561D,2019-02-12 17:28:57,NA
"Lee, Jessica",27G0705P,2019-09-22 03:07:47,NA
"el-Soliman, Dhaakir",97T4932J,2019-04-11 11:50:42,NA
"Mcmillan, Donte",55U7774N,2019-03-08 08:09:40,NA
"Rosenthal, Coleton Jay",77Q7653V,2019-09-14 14:04:29,NA
"Her, Cassidy",54P3580R,2019-07-08 22:31:18,NA
"Flores Chavez, Angelica",42D5258B,2019-10-08 01:34:50,NA
"Untalan, Sae",72S9041X,2019-09-10 19:16:39,NA
"Ruiz, Cecilia",09H4438D,2019-12-12 18:28:40,NA
"Taylor, Sean",38Y6600P,2019-06-28 01:30:21,NA
"Gonzalez, Caylan",96V0729C,2019-06-30 22:16:56,NA
"Hasbrouck, Shinji",93P7985B,2019-09-05 08:23:28,NA
"Seiler, Tosha",28E2370P,2019-12-10 22:34:31,NA
"Rubley, Brittany",75N5638X,2019-05-13 14:36:02,NA
"Suto, Ritika",40Z6563N,2019-11-08 08:20:34,NA
"Harney, Shanay",22P4708G,2019-07-12 16:11:53,NA
"Bindejo, Angelina",09T8260U,2019-07-06 12:52:36,NA
"Rivera, Daniellla",32D2345H,2019-08-31 20:44:06,NA
"Santos Sandoval, Jasmine",57P9736Z,2019-06-29 18:15:28,NA
"Buchanan-Sam, Ray",87U5060J,2019-09-24 05:20:43,NA
"Vigil, Cheyenne",81O9698Z,2019-03-02 17:02:24,NA
"White, Alexis",23Y1135G,2019-11-02 19:35:55,NA
"al-Shad, Saajid",72S1620U,2019-12-28 06:43:45,NA
"Hoffman, Robert",43U9431H,2019-05-01 16:53:11,NA
"Sandoval, Joshua",99C8529A,2019-10-08 01:34:50,NA
"el-Bacho, Zaidaan",13V2077H,2019-12-10 16:03:00,NA
"Pacheco, Dianey",63S0577A,2019-05-31 21:39:04,NA
"Schmid, Matthew",96I0436X,2019-07-04 06:46:37,NA
"Tinsley, Mckenzie",66P6254L,2019-06-28 11:43:11,NA
"Kireilis, Cedar",43R4171N,2019-08-26 10:42:52,NA
"Johnson, Timothy",33E6734V,2019-08-09 16:10:12,NA
"Houlihan, Kathryn",19L4650U,2019-11-02 04:30:48,NA
"Fellows, Julie",72I9237C,2019-10-12 08:36:30,NA
"al-Tawil, Abdul Hameed",36Z7743J,2019-10-30 01:27:47,NA
"el-Akram, Hadiyya",19A2262U,2019-10-05 17:04:56,NA
"Nguyen, Eulalia",92H4052G,2019-10-29 13:06:13,NA
"Miranda, Lorissa",33M1923M,2019-10-01 11:21:29,NA
"Devnani, Meaghan",24Z7580M,2019-10-01 06:33:42,NA
"el-Pasha, Jaad",99S1592P,2019-04-03 18:15:18,NA
"Salinas, Tyler",44Z8322Y,2019-04-29 03:55:12,NA
"Piazza, Derek",15H4404T,2019-05-07 23:21:53,NA
"Brauher, Julia",50M2251Y,2019-07-20 23:30:55,NA
"al-Ismail, Taaha",43N5811P,2019-04-25 19:12:26,NA
"Le, Tommy",58V3084V,2019-12-24 21:35:59,NA
"Hernandez, Sue",54I1632S,2019-03-20 09:18:08,NA
"Ezzat, Aminaa",42Y0041A,2019-07-27 17:21:35,NA
"Bolen, Justine",91P7505E,2019-12-23 17:06:23,NA
"Riddle, Brooklyn",28S4938J,2019-09-15 06:09:34,NA
"Smith, Kiara",78C2377D,2019-08-13 13:54:41,NA
"Jacket, Shay",06J3243K,2019-12-25 11:36:31,NA
"Keese, Crystal",90S5088S,2019-07-01 10:24:44,NA
"al-Ghanem, Saalim",70W3633I,2019-04-25 21:54:03,NA
"Tran, Tracey",52O8932S,2019-06-29 06:25:35,NA
"Kwiat, Christian",32J9760K,2019-01-29 20:19:39,NA
"el-Siddiqi, Sadoon",42E5035Q,2019-05-27 17:04:18,NA
"el-Salloum, Fahmi",52L7568X,2019-11-04 06:30:33,NA
"Cleavenger, Emma",76C0248N,2019-11-14 08:32:43,NA
"Schell, Lance",77F8665W,2019-08-14 10:47:43,NA
"Morales, Jordan",14S1963A,2019-04-09 10:01:16,NA
"Williams, Nicholas",62Q5339I,2019-12-11 01:46:18,NA
"al-Abbas, Hibbaan",48H8703F,2019-10-22 09:56:11,NA
"Skodack, Maomao",47Q6108J,2019-05-26 11:25:11,NA
"Zeidler, Brooke",48T9586A,2019-11-26 20:43:39,NA
"Stieb, Jessie",96P9412H,2019-02-12 15:47:44,NA
"Carter, Asia",58W5177N,2019-10-08 10:16:09,NA
"Kitts, Kirstyn",12F3805S,2019-07-30 20:27:00,NA
"Campbell, Justin",93H4271M,2019-01-30 06:46:31,NA
"Ong, Mahdi",22M4399P,2019-10-10 21:49:38,NA
"Contreras, Leroy",88F3567L,2019-02-14 21:15:55,NA
"al-Molla, Adham",97N0018U,2019-03-18 12:05:48,NA
"Didario, Kristine",43T9153V,2019-03-10 16:35:46,NA
"el-Safi, Ibrahim",84E8609N,2019-04-09 16:31:49,NA
"Vigil, Mauricio",54Z1219Q,2019-01-05 02:48:40,NA
"Tucson, Jeremy",11V1704F,2019-12-25 16:19:24,NA
"Nguyen, Jomar",08D7148Z,2019-02-12 17:34:12,NA
"Sysavoung, May",43U9431H,2019-12-08 17:32:13,NA
"Lumsden, Robert",51R7587X,2019-05-27 01:20:53,NA
"Sameshima, Rookush",92Q1713O,2019-08-21 23:20:31,NA
"Tyler, Courtland",66W2018Q,2019-06-12 05:06:55,NA
"Nichols, Colton",59O4678N,2019-07-21 22:14:23,NA
"Martin, Abigail",77G1753T,2019-09-10 06:51:59,NA
"al-Kamel, Taahir",82T0163C,2019-08-18 14:55:37,NA
"Cloud, Rachael",27I3608K,2019-06-09 17:54:29,NA
"Kalaga, William",38G9371D,2019-08-23 01:34:58,NA
"Silby, Nia",52P2925F,2019-07-30 16:45:29,NA
"Borum, Marcus",39R4515D,2019-03-22 11:48:04,NA
"Cruz, Jayme",09K4431C,2019-07-05 17:23:14,NA
"Goheen, Britney",45D6030Z,2019-06-02 02:38:10,NA
"Crockett, Tianna",15H0111K,2019-07-12 15:10:57,NA
"Fulton, Cierra",82E3385F,2019-02-05 18:14:53,NA
"Mckain-Miller, Laura",39R9851C,2019-11-03 15:41:26,NA
"Chester, Dustin",72H8919Y,2019-09-25 12:05:52,NA
"Vasquez, Abel",45N8151V,2019-03-23 23:44:13,NA
"Little, Breana",81J8717U,2019-03-09 02:23:26,NA
"Freeman, Anne",69K5832S,2019-12-13 05:33:24,NA
"Saavedra-Ortiz, Anaedith",96S5088F,2019-01-28 21:11:21,NA
"Lopez, Briana",72H2284G,2019-10-20 05:00:08,NA
"al-Salik, Afraah",23B9124E,2019-02-18 22:16:31,NA
"Ortiz, Jaquelin",34U6065Z,2019-07-07 09:14:39,NA
"Miller, Taylor",42F7462V,2019-04-04 11:43:24,NA
"Dinsmore, Raul",31T8008M,2019-03-06 15:10:12,NA
"Renteria, Selena",41B2196H,2019-07-28 01:06:58,NA
"Forte, Emily",11E9986Q,2019-08-15 08:50:12,NA
"Gutshall, Connor",34X9752O,2019-12-22 23:16:22,NA
"Thomas, Howard",01A2656M,2019-04-12 19:37:21,NA
"Garcia, Luis",33A5466D,2019-01-02 12:12:36,NA
"Rockwell, Gilbert",04C1642N,2019-12-01 16:34:09,NA
"Madachy, Ariel",27L0021C,2019-08-19 19:17:38,NA
"Lopez, Schiara",31S7699R,2019-02-28 01:24:44,NA
"Carter, Asia",96C6941H,2019-01-28 18:11:27,NA
"Orr, Marquin",98V0056S,2019-12-25 15:10:12,NA
"Mcglothin, Jonathan",00I2459R,2019-09-23 01:44:17,NA
"Mortensen, Eugene",25C2778L,2019-08-26 22:01:11,NA
"Musick-Occhiuto, Katherine",06A6222U,2019-07-02 14:41:20,NA
"Miesel, Jonathan",19V5643S,2019-01-12 18:52:30,NA
"Sheahan, Abhi",30P5552V,2019-12-14 04:10:04,NA
"el-Kaber, Raadiya",42Q6431F,2019-11-19 03:00:29,NA
"Gopalakrishnan, Tyler",47A7826Y,2019-08-20 18:18:31,NA
"el-Kaber, Raadiya",05M1792Z,2019-04-20 23:05:38,NA
"Chui, Kosuke",65V5390Q,2019-10-06 02:59:51,NA
"Farris, Janice",67H0647P,2019-12-13 05:33:24,NA
"Mitchell, Sydney",96I0436X,2019-12-05 19:32:07,NA
"Mascarenas, Antonio",42Z4621D,2019-01-10 20:53:16,NA
"Nyre, Jessie",67Z6873R,2019-10-19 11:23:03,NA
"Bradford, Piper",53C0492L,2019-09-29 01:38:12,NA
"Quick, Zackarie",45I3774D,2019-07-08 05:26:13,NA
"Mangels, Madison",34J4909Z,2019-10-22 04:46:13,NA
"Thomas, Howard",45D9278C,2019-03-20 15:18:15,NA
"Russ, Qing",83P6014L,2019-06-23 07:26:14,NA
"Pelletier, Oming",69T2289Q,2019-07-16 00:26:06,NA
"Halsey, Alexa",68H1189P,2019-06-03 18:37:22,NA
"Espinoza, Jonathan",61Q9587D,2019-10-16 03:31:27,NA
"Martinez, Marlene",08G7365H,2019-08-07 07:52:46,NA
"Luqman, Orville",25P9890H,2019-08-28 08:59:42,NA
"Nissan, Kelcy",14T0583H,2019-11-21 09:42:37,NA
"al-Salam, Mubeena",24V2816N,2019-10-12 18:16:54,NA
"Flores-Heredia, Jacqueline",70U6417W,2019-06-11 09:37:08,NA
"Beisel, Ryan",03N9956D,2019-06-07 22:24:38,NA
"Scannell, Kareem",45Y5869K,2019-03-31 17:14:25,NA
"Cone, Trevor",96F8167G,2019-07-25 06:05:31,NA
"Derr, Breeanna",24N6122P,2019-09-30 22:54:29,NA
"el-Ozer, Haitham",42O6906M,2019-11-10 14:47:34,NA
"Shareef, Meciah",17K4420T,2019-07-10 01:58:50,NA
"Torres Silva, Isaac",93P7985B,2019-07-27 07:04:27,NA
"Taft, Mark",08Q7419Q,2019-01-27 00:32:20,NA
"Lee, Brittany",35Y7780H,2019-11-23 06:20:44,NA
"Sysavoung, May",01G2187T,2019-01-13 03:45:37,NA
"al-Shariff, Musheer",16X0911U,2019-07-16 23:58:24,NA
"Lee, Dana",17G2773B,2019-12-23 03:16:59,NA
"Salas, Janelle",92T2275U,2019-10-12 07:13:23,NA
"Choi, Alexander",43E5747E,2019-04-02 13:17:04,NA
"Tolutau, Ronak",50L1671C,2019-03-28 12:42:44,NA
"Nguyen, May",07A6760N,2019-06-12 15:18:05,NA
"al-Hasan, Atheer",11P3297Y,2019-06-29 22:07:34,NA
"Sabido, Kirsten",85Y8164J,2019-07-28 06:49:03,NA
"Fellows, Julie",69Y9806Q,2019-06-08 05:27:14,NA
"Mengist, Kebrina",58S6844C,2019-08-13 07:06:21,NA
"Prien, Natalie",08V9336Y,2019-05-28 20:12:38,NA
"French, James",88E3589M,2019-07-31 22:54:42,NA
"Chen, Sarah",62W7103Z,2019-03-06 15:10:12,NA
"Cardenas, Brianna",92Q6703D,2019-03-10 02:16:24,NA
"Jones, Patrick",72I2416T,2019-02-12 01:45:56,NA
"Arrington, Jajira",75X2259G,2019-10-07 03:54:16,NA
"Costa, Mikkayla",01S6674U,2019-02-17 17:00:14,NA
"Ju, Charell",98T7858G,2019-07-26 11:57:08,NA
"Camelin, Samuel",10N8186X,2019-07-30 12:27:52,NA
"Harper, Sevion",08G7585T,2019-02-17 09:05:23,NA
"el-Younes, Minnah",67A4785K,2019-03-03 14:27:18,NA
"el-Masood, Sultan",62N8415Y,2019-04-11 16:00:08,NA
"Ramirez, Karissa",87H3595R,2019-11-22 14:46:31,NA
"Prosser, Kerry",69D9272U,2019-05-28 09:05:23,NA
"el-Siddiqi, Sadoon",44Z8322Y,2019-09-30 02:28:44,NA
"Hamilton, Natasha",19Y5758I,2019-03-18 01:12:28,NA
"Solongo, Allan",76C0248N,2019-06-14 05:43:27,NA
"Bowman, Bryan",69M9954N,2019-01-21 00:32:57,NA
"Barodi, Matthew",61I2359D,2019-01-05 23:24:09,NA
"Trujillo, Sarah",53K6368N,2019-12-18 03:37:55,NA
"Atkins, Braxton",40A0772G,2019-01-26 07:45:00,NA
"Skiff, Timothy",23S2362W,2019-10-10 11:59:09,NA
"Fernandez, Devon",56M0470F,2019-09-02 00:48:08,NA
"Levine, Chanthakath",25L6547M,2019-03-28 02:40:33,NA
"Vazquez, Ana",81D3299U,2019-03-27 21:26:56,NA
"Hill, Tiana",49Q1485Q,2019-09-16 07:46:59,NA
"Chacon, Angel",78Y7153S,2019-08-10 21:22:02,NA
"el-Bacho, Zaidaan",10F9104L,2019-04-13 18:19:50,NA
"San Pedro, Donalyn",97C4988K,2019-11-10 14:47:34,NA
"Enriquez, Alice",89E9400M,2019-11-25 10:35:03,NA
"el-Akhtar, Nusaiba",39A2044M,2019-02-26 21:30:31,NA
"Meltzer, Alisha",07W3861G,2019-07-24 22:26:57,NA
"el-Akhtar, Shaheed",14N0214N,2019-10-21 02:48:13,NA
"Haltom, Sabra",56L0444H,2019-04-27 13:32:36,NA
"Johnson, Caemeille",78W8729N,2019-04-22 00:27:28,NA
"Garza, Olivia",92Y0908C,2019-09-15 08:46:25,NA
"Nelson, Ashley",69K5832S,2019-12-11 15:45:22,NA
"Dinsmore, Raul",72N5215Y,2019-12-03 08:30:08,NA
"Kong, Helena",83K7958Q,2019-12-14 19:38:59,NA
"el-Hallal, Abdut Tawwab",30T9558J,2019-08-09 16:10:12,NA
"Taggart, Damiquia",59X5537W,2019-05-31 19:39:10,NA
"Rodrigues, Rachel",05F0468Y,2019-01-22 10:28:50,NA
"Hand, Jake",19Q9641V,2019-01-31 10:14:11,NA
"Rodriguez, Lenin",24F3283B,2019-04-04 18:10:17,NA
"Iu, Tai",19D6989H,2019-10-20 03:26:43,NA
"Gatewood, Labon",81E2255M,2019-12-09 19:28:45,NA
"Oh, Phi",02Y8648B,2019-05-09 11:57:26,NA
"Boden, Autumn",91W3077M,2019-02-13 01:37:11,NA
"Ahmed, Walter",31T8008M,2019-12-04 12:01:56,NA
"Abughazaleh, William",17C7520D,2019-09-22 17:03:03,NA
"el-Edris, Musaddiq",21F1380J,2019-10-06 22:13:59,NA
"Flores, Teodoro",72H3791H,2019-12-04 09:21:21,NA
"el-Shaikh, Manaal",95S1765Z,2019-08-01 15:17:12,NA
"Flores, Lynnette",16Q4044P,2019-06-07 22:24:38,NA
"Kim, Brandon",73N6757P,2019-08-14 08:08:53,NA
"Ghimire, Emma",33H7397T,2019-06-26 05:55:05,NA
"el-Yousuf, Shaimaaa",63C3258A,2019-12-16 03:40:27,NA
"Feldmann, Rebecca",38U9155S,2019-03-27 18:09:42,NA
"George, Brittney",51G2933P,2019-06-22 10:44:56,NA
"Mai, Harmandeep",17K8844Z,2019-12-13 05:00:07,NA
"Park, Yane",57F1340Y,2019-03-23 11:42:45,NA
"al-Ameen, Naseera",48C5887U,2019-10-17 12:28:34,NA
"Banuelos, Breanna",44G1220R,2019-10-29 17:07:07,NA
"Maloy, Kymbreanne",50E4848O,2019-10-30 09:30:50,NA
"Sandhu, Marvin",70S1355I,2019-06-17 00:02:12,NA
"Lopez, Summer",65X3393R,2019-08-04 18:44:47,NA
"Vasquez, Jordan",58A9754H,2019-06-21 17:23:31,NA
"Nalla, Binh",04Z6590F,2019-02-06 14:33:33,NA
"Silby, Nia",18T4124M,2019-10-18 05:05:09,NA
"Hardy, Grant",54Q5721K,2019-11-06 00:35:45,NA
"Merritt, Shawn",02A9782L,2019-06-28 06:04:00,NA
"Mcgary, Shelby",63B4803M,2019-08-08 21:25:24,NA
"Fink, Hunter",04P1882K,2019-07-22 06:10:09,NA
"el-Khalil, Hamad",79H1031R,2019-03-15 21:13:17,NA
"al-Bilal, Zahra",38X7775A,2019-04-04 00:35:36,NA
"Roubideaux, Christopher",81I8007Y,2019-02-16 10:39:27,NA
"el-Ally, Aarifa",16C7485H,2019-03-09 04:50:25,NA
"Abrego Paz, Justin",54V4271S,2019-05-08 07:52:32,NA
"Bean, Ladaisha",66V8851O,2019-08-23 01:34:58,NA
"al-Abid, Shafeeqa",37K3045C,2019-04-02 07:15:59,NA
"el-Azizi, Waheeda",41W8967K,2019-07-02 14:02:38,NA
"Jones, Dominique",35C3999C,2019-07-12 07:01:51,NA
"al-Othman, Aatifa",34C5401W,2019-05-26 20:37:03,NA
"Sedillo, Bowen",71R2109X,2019-05-16 10:25:31,NA
"Zachareas, Nathan",28O8700J,2019-06-06 06:12:42,NA
"Lummis, Ji",49Q1485Q,2019-10-15 11:15:19,NA
"Hand, Jake",78I7940P,2019-01-30 16:29:50,NA
"New, Leroy",42Z4621D,2019-04-06 18:00:59,NA
"Lopez, Jennifer",32O5961D,2019-07-05 16:02:28,NA
"Estrada Hernandez, Mariah",65W4690D,2019-04-05 11:28:40,NA
"Chan, Thao",32K3487S,2019-05-29 03:21:36,NA
"Shrestha, Olivia",76T3484R,2019-06-25 07:05:59,NA
"Cabrera, Lijie",23Y1685M,2019-01-28 18:11:27,NA
"Gonzalez Mendoza, Kayla",16I6503D,2019-12-19 19:34:44,NA
"Pak, Summer",48V0811J,2019-11-12 16:29:12,NA
"Tigg, Jordan",41Q6605N,2019-02-17 13:49:48,NA
"Sosa, Joana",35S2773V,2019-06-20 13:35:50,NA
"Brady, Michael",56W8797N,2019-10-31 10:11:10,NA
"el-Hafeez, Qaaid",05C0266X,2019-05-04 02:02:41,NA
"Canuto, Ignacio",11G3299G,2019-05-22 17:48:46,NA
"Palmgren, Mikayla",18S8490P,2019-03-27 17:04:17,NA
"Watt, Angelina",11M9680L,2019-07-30 18:03:15,NA
"Young, David",82N7359Z,2019-02-26 13:06:57,NA
"Tongbua, Anjellica",17S9188H,2019-09-21 17:10:29,NA
"Marquez, Tsavii",84Q7702I,2019-11-20 16:53:59,NA
"Serrano, Darrien",63S3311I,2019-06-22 10:44:56,NA
"Vang, Kevin",43K6651U,2019-08-14 17:17:55,NA
"Park, Sarah",33X7697T,2019-09-18 10:38:09,NA
"el-Tariq, Shaahida",48D4287H,2019-04-17 07:33:11,NA
"Swain, Raegan",46I8425A,2019-02-22 23:06:04,NA
"el-Attar, Sabaah",35M4959V,2019-08-16 04:22:22,NA
"Barone, Dylan",96G7720U,2019-02-03 07:42:45,NA
"Blake, Hayden",96P9412H,2019-05-01 09:21:48,NA
"Alston, Kadeem",31H8305U,2019-07-08 16:14:25,NA
"al-Abdallah, Sultana",01Q1179W,2019-07-14 17:59:41,NA
"Miller, Hailee",15T5212S,2019-03-10 02:16:24,NA
"Mohamed, Nicole",86C2408S,2019-11-30 14:24:26,NA
"Crupi, Renae",59A9339M,2019-03-27 23:57:18,NA
"Martinez, Phoenix",04C8235I,2019-08-03 17:36:27,NA
"Huynh, Kia",25Q2189C,2019-12-18 06:56:49,NA
"Meiskey, Christopher",11B4889C,2019-08-17 17:46:19,NA
"Asad, Nicole",22M4399P,2019-04-10 01:51:19,NA
"el-Odeh, Abdul Hakeem",37E9677J,2019-08-04 15:19:23,NA
"Pennington, Rosa",68H4586J,2019-11-14 04:35:16,NA
"Banos, Shelby",12M6799Q,2019-01-18 13:40:14,NA
"al-Hoda, Nuha",96Z9781V,2019-09-29 09:20:04,NA
"Chase, Isaiah",93O4733M,2019-11-26 02:38:12,NA
"Tipoti, Analicia",23W2505M,2019-08-19 16:51:21,NA
"Olguin, Brycen",04K8980B,2019-02-15 15:48:06,NA
"Engen, Zachary",28Q6483R,2019-06-18 17:04:29,NA
"Murray, Simon",38U9155S,2019-03-01 02:54:34,NA
"Leslie, Serena",67Y1997V,2019-01-09 21:34:26,NA
"Taha, Jack",76S3200E,2019-03-03 23:08:10,NA
"Bunce, Cameron",83Q8047F,2019-12-18 19:44:55,NA
"Wienski, Dillon",52O0066U,2019-05-19 05:39:25,NA
"Caravio, Jeremy",86S4114F,2019-09-28 04:14:45,NA
"Nguyen, Kainoa",29R3341X,2019-09-10 11:31:57,NA
"Gillies, Mitchell",03A5237A,2019-03-16 08:14:03,NA
"Coreau, Joshua",87K6277H,2019-09-15 03:03:27,NA
"al-Khatib, Khairi",85Q0646L,2019-03-18 06:30:21,NA
"el-Guler, Israa",51M7749R,2019-12-18 02:54:30,NA
"Sulley, Jessica",99B7844Y,2019-06-01 19:36:11,NA
"Estrada, Shannon",52H3729W,2019-03-06 14:59:49,NA
"Frazier, Joseph",12W4016G,2019-09-04 02:08:37,NA
"Banos, Shelby",70O8301L,2019-12-14 21:45:29,NA
"Clingan, James",24C5032J,2019-01-23 21:39:42,NA
"Jackson, Erik",25O4156A,2019-08-30 19:37:18,NA
"Smith, Gena",22Y7859I,2019-10-06 15:08:40,NA
"Johnson-Newborn, Porsha",54O4301J,2019-03-09 19:25:05,NA
"al-Shaker, Raaniya",01F2691V,2019-12-15 21:29:56,NA
"Molina, Karla",98N4590X,2019-07-27 13:57:23,NA
"Chacon, Angel",27C2182H,2019-04-10 07:38:50,NA
"Prim, Anuzaya",89O3374R,2019-01-23 09:45:06,NA
"Archuleta, Jose",46N0504N,2019-05-28 13:15:17,NA
"Hammer, Bailie",22S1190R,2019-08-23 03:05:16,NA
"Snow, Andrew",14K2339E,2019-07-01 02:40:33,NA
"al-Ishmael, Ulyaa",36M5319D,2019-07-01 05:25:14,NA
"Cruz, Destiny",91P8519L,2019-08-15 02:58:22,NA
"Waldner, Anthony",84W4289L,2019-06-10 17:21:59,NA
"Phillips, Kyle",61P7875K,2019-03-03 05:15:38,NA
"Pardner, Dawnae",53W2973E,2019-11-24 06:48:21,NA
"Eurich, Gracie",30N4900T,2019-05-11 23:32:28,NA
"Sheets, Zachary",45W8477G,2019-12-07 06:01:39,NA
"el-Saladin, Jafar",56W9135U,2019-06-23 23:25:51,NA
"Young, Breanna",84X3327L,2019-01-30 06:35:31,NA
"Morales, Robyn",82W8729Q,2019-06-16 21:57:38,NA
"Lemmons, Jonori",15Z3102M,2019-07-30 18:03:15,NA
"Farrar, Zaire",67D5377Q,2019-05-14 03:07:00,NA
"Leon, Richard",72G2722L,2019-05-24 22:06:53,NA
"Lee, Ashley",37Q4645E,2019-09-10 03:28:45,NA
"Palmer, Audreon",22X9875W,2019-08-14 01:09:00,NA
"Kesler, Courtney",13W3087K,2019-03-29 10:39:12,NA
"Porter, Jordan",57W7023B,2019-01-02 18:51:01,NA
"Anderson, Lee Anna",80K5348U,2019-02-21 14:08:31,NA
"Yepez, Ruben",51T4581G,2019-09-03 12:46:18,NA
"al-Vaziri, Aabdeen",16R8792J,2019-10-12 19:57:12,NA
"Shea, Leander",97D2091O,2019-12-17 03:43:21,NA
"Au Yeung, Chinmay",70U9506Z,2019-02-09 08:02:51,NA
"Pourier, Samuel",33D8683F,2019-12-19 10:11:40,NA
"Macias, Skyy",53W2085G,2019-02-07 02:49:04,NA
"al-Basher, Iffat",70O1952F,2019-01-16 01:26:23,NA
"el-Dar, Muslih",98T2759Y,2019-12-04 06:58:32,NA
"Bowyer, Amber",16S8079X,2019-01-03 16:40:37,NA
"Kingrasaphone, Angela",46R7003J,2019-12-20 02:52:55,NA
"Russ, Qing",93J0744V,2019-09-10 21:54:30,NA
"Le, Alicia",33D9105Z,2019-05-24 12:14:36,NA
"Layne, Ashajenee",46J7187X,2019-01-01 01:10:23,NA
"Eckhart, William",77C4393V,2019-06-29 00:43:34,NA
