name,pin,joined,are_they_currently_practising,curently_practising,wish_to_lapse_registration,wish_to_lapse_reason,wish_to_partially_lapse_which_part,which_revalidation_requirement_not_met,exceptional_circumstances_requested,exceptional_circumstances_awarded
"Garcia, Kayla",19P7880L,2019-07-24 21:40:04,TRUE,Midwife outside the UK,No,Currently not practising / opted not to practise,Nurse,Reflective discussion,TRUE,FALSE
"Raymond, Mareena",65X6329T,2019-06-01 10:13:44,FALSE,Nurse inside the UK,Partial lapse,Retirement,Midwife,Health and character declaration,FALSE,FALSE
"Majekodunmi, Kiah",68L2452I,2019-01-28 21:11:21,TRUE,Midwife outside the UK,No,Ill health,Nurse,Confirmation,TRUE,TRUE
"Pena, Casey",08L8216Y,2019-06-15 10:21:14,FALSE,Midwife in UK & have submitted intention to practise form,No,Currently not practising / opted not to practise,Midwife,Practice-related feedback,FALSE,FALSE
"Mcgowan, Alexandra",59H6838R,2019-08-23 12:15:22,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Written reflective accounts,TRUE,TRUE
"el-Rahimi, Jaadallah",14W4058H,2019-07-10 22:23:26,FALSE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Reflective discussion,TRUE,FALSE
"Trojahn, Junbian",45N8151V,2019-08-25 02:10:10,FALSE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,CPD,TRUE,FALSE
"Lewis, Cainan",29T2826U,2019-08-20 20:40:39,TRUE,Nurse outside the UK,No,Retirement,Midwife,CPD,TRUE,TRUE
"Wong, Julia",19I3719V,2019-03-11 16:40:08,TRUE,Nurse outside the UK,Partial lapse,Retirement,Midwife,CPD,FALSE,FALSE
"el-Aly, Hamdi",32J8796E,2019-04-11 14:54:03,FALSE,Nurse outside the UK,No,Deceased,Midwife,Practice hours,FALSE,FALSE
"Puentes Lira, Kristal",16Z8688R,2019-08-11 19:02:19,FALSE,Nurse inside the UK,No,Deceased,Nurse,CPD,TRUE,FALSE
"Rusch, Patrik",54U6286J,2019-10-17 08:10:23,TRUE,Midwife outside the UK,Yes,Ill health,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Guerue, Kendell",94U4700C,2019-01-18 02:01:39,TRUE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"Molock, Guem",64T8826C,2019-07-19 10:28:48,FALSE,Midwife outside the UK,No,Retirement,Nurse,Practice hours,TRUE,TRUE
"Kramer, Lauren",48K3374C,2019-11-23 23:55:18,TRUE,Nurse inside the UK,No,Currently not practising / opted not to practise,Midwife,Practice-related feedback,FALSE,FALSE
"Smith, Tristan",28L7502S,2019-09-04 11:26:17,TRUE,Midwife in UK & have submitted intention to practise form,No,Does not meet the revalidation requirements,Midwife,Health and character declaration,FALSE,FALSE
"al-Darwish, Munisa",62W7103Z,2019-08-30 20:19:37,TRUE,Midwife outside the UK,Partial lapse,Retirement,Nurse,Confirmation,FALSE,TRUE
"Mcclaskey, Blake",86F5837A,2019-04-02 22:46:25,FALSE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,Reflective discussion,FALSE,TRUE
"Simo, Breya",49V6716E,2019-06-10 19:57:56,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Midwife,Health and character declaration,FALSE,FALSE
"al-Abid, Miqdaam",08K8118B,2019-07-08 16:56:20,FALSE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Reflective discussion,TRUE,FALSE
"el-Kabir, Abbaas",86B4599O,2019-07-07 05:23:40,FALSE,Nurse outside the UK,No,Does not meet the revalidation requirements,Midwife,Health and character declaration,FALSE,FALSE
"Wooters, Zachary",81V1072J,2019-12-18 06:32:03,FALSE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,CPD,TRUE,TRUE
"Proctor, Lashaina",55N5950A,2019-04-21 20:28:09,TRUE,Midwife outside the UK,No,Deceased,Midwife,CPD,TRUE,TRUE
"Faoro, Ryan",98P2988E,2019-03-28 12:42:44,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Nurse,Written reflective accounts,FALSE,FALSE
"Gonzales, Joseph",43I9936U,2019-02-02 23:37:11,TRUE,Nurse outside the UK,Yes,Deceased,Nurse,Practice-related feedback,FALSE,FALSE
"Royalty, Jesse",52Z8489B,2019-04-14 16:46:26,TRUE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Reflective discussion,FALSE,FALSE
"Richardson, Calvin",89S0032M,2019-01-02 18:51:01,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Nurse,Practice-related feedback,FALSE,FALSE
"Aguilar, Izaiah",27P8735S,2019-11-25 15:37:01,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Nurse,Confirmation,TRUE,TRUE
"el-Yousuf, Daif",89V7878S,2019-06-18 23:13:17,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,Confirmation,TRUE,FALSE
"Blackbear, Cody",84Y0600P,2019-03-20 16:58:05,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Nurse,Professional indemnity arrangement declaration,TRUE,TRUE
"Sabey, Kristin",33B7487C,2019-01-02 12:12:36,FALSE,Midwife outside the UK,No,Currently not practising / opted not to practise,Midwife,Practice hours,TRUE,TRUE
"Gatewood, Labon",14F4955C,2019-10-02 06:51:52,FALSE,Midwife outside the UK,No,Ill health,Nurse,Confirmation,FALSE,FALSE
"Chaca, Hunter",38B6904I,2019-11-10 13:06:47,FALSE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Yan, Jimmy",79W4560D,2019-11-14 17:25:09,TRUE,Midwife outside the UK,Yes,Ill health,Nurse,Written reflective accounts,TRUE,TRUE
"Silver, Anai",83C5553Z,2019-02-05 15:01:40,TRUE,Nurse inside the UK,Yes,Retirement,Nurse,Reflective discussion,TRUE,FALSE
"Adam, Abdinasir",48W3682A,2019-03-19 13:54:00,FALSE,Midwife in UK & have submitted intention to practise form,No,Currently not practising / opted not to practise,Midwife,Reflective discussion,TRUE,FALSE
"Wright, Christopher",05W9435E,2019-04-05 11:28:40,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Nurse,Practice-related feedback,FALSE,FALSE
"Marton, Janetta",28B9490A,2019-01-30 16:55:14,TRUE,Nurse outside the UK,Partial lapse,Retirement,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Wheeler, Sierra",88F3567L,2019-09-20 08:18:42,TRUE,Nurse outside the UK,No,Ill health,Midwife,Practice hours,TRUE,FALSE
"Mathukumilli, Randy",95X9642F,2019-12-11 01:46:18,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Nurse,Practice-related feedback,FALSE,FALSE
"al-Saleem, Jiyaad",97B1233J,2019-08-11 23:11:04,FALSE,Midwife outside the UK,No,Does not meet the revalidation requirements,Midwife,Practice hours,FALSE,TRUE
"Mendiola Olague, Guadalupe",63K6551C,2019-12-11 08:33:29,FALSE,Nurse outside the UK,Yes,Ill health,Midwife,Confirmation,FALSE,TRUE
"Mathew, Madison",48M5357Q,2019-12-26 20:11:16,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Midwife,Written reflective accounts,FALSE,TRUE
"Robles, Michael-Joseph",84P5726O,2019-07-28 10:14:54,FALSE,Nurse outside the UK,Yes,Ill health,Midwife,CPD,FALSE,TRUE
"Sanchez, Jared",43N7403O,2019-08-26 21:24:13,TRUE,Nurse outside the UK,No,Deceased,Nurse,CPD,FALSE,FALSE
"Ramirez Hernandez, Christopher",29E2455L,2019-12-01 15:56:10,TRUE,Nurse inside the UK,Yes,Ill health,Midwife,Confirmation,TRUE,FALSE
"al-Sultan, Taariq",38H7286L,2019-01-12 00:29:37,FALSE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Written reflective accounts,FALSE,FALSE
"Cruz, Trent",60E9550N,2019-11-14 20:42:16,FALSE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Confirmation,TRUE,TRUE
"Johnson, Jarod",42K4001M,2019-08-01 06:52:09,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,Practice hours,TRUE,FALSE
"Gregg, Kendall",11D8201J,2019-03-20 09:18:08,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Nurse,Reflective discussion,TRUE,TRUE
"Cochrane, Deesta",11A7251K,2019-05-28 20:12:38,FALSE,Midwife outside the UK,No,Ill health,Midwife,Confirmation,TRUE,TRUE
"Lee, Heassam",21L0449D,2019-03-31 06:36:49,TRUE,Midwife outside the UK,Partial lapse,Ill health,Nurse,Practice hours,FALSE,FALSE
"Wolberg, Samantha",36F3448L,2019-08-22 14:15:21,TRUE,Nurse outside the UK,No,Deceased,Midwife,Practice hours,FALSE,FALSE
"Griffin Zavala, Fransico",67D6472G,2019-01-18 01:00:05,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Midwife,Confirmation,TRUE,TRUE
"Savoy, Payton",15H4404T,2019-11-25 03:55:43,TRUE,Midwife in UK & have submitted intention to practise form,No,Does not meet the revalidation requirements,Midwife,CPD,TRUE,TRUE
"el-Sharif, Raabia",44E7152S,2019-02-24 11:23:48,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Nurse,CPD,FALSE,TRUE
"Mondragon, Keyanna",32H0052R,2019-07-04 21:30:17,TRUE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Practice hours,TRUE,FALSE
"Garrison, Julie",24T1172H,2019-06-26 21:53:48,FALSE,Midwife in UK & have submitted intention to practise form,No,Deceased,Midwife,Health and character declaration,TRUE,TRUE
"Lonowski, James",99Q1150J,2019-04-19 22:30:45,TRUE,Midwife outside the UK,No,Does not meet the revalidation requirements,Nurse,Practice-related feedback,TRUE,TRUE
"Burges, Tanner",25F5317B,2019-11-04 06:07:22,FALSE,Nurse inside the UK,Yes,Retirement,Nurse,Reflective discussion,FALSE,FALSE
"Wade, Angelita",42N5455N,2019-12-05 23:20:20,TRUE,Nurse outside the UK,Partial lapse,Retirement,Midwife,Practice-related feedback,FALSE,FALSE
"Littlefield, Isaac",48Z4827A,2019-10-04 05:07:44,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Midwife,Reflective discussion,TRUE,TRUE
"Squier, Troy",59T7911Z,2019-11-30 04:17:03,TRUE,Midwife outside the UK,No,Ill health,Nurse,Practice-related feedback,FALSE,TRUE
"Tran, Tracey",21L7201Q,2019-07-29 08:48:42,FALSE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Midwife,CPD,FALSE,TRUE
"el-Hossain, Taajuddeen",32Q6681J,2019-07-30 18:03:15,TRUE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Confirmation,TRUE,TRUE
"Brown, Cailinanne",28W9595N,2019-01-05 13:10:23,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Midwife,Confirmation,FALSE,FALSE
"Lopez, Adriana",11G4351J,2019-11-12 11:19:29,TRUE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Practice hours,FALSE,TRUE
"Ross, Tevin",84J4810R,2019-11-11 13:40:27,FALSE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,CPD,FALSE,FALSE
"el-Soliman, Dhaakir",40W7121A,2019-11-21 07:43:40,TRUE,Nurse inside the UK,No,Ill health,Nurse,Written reflective accounts,FALSE,TRUE
"al-Javed, Rafeeda",98B8042R,2019-10-17 08:10:23,TRUE,Midwife outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,FALSE
"Wooden, India",50N2772J,2019-04-29 21:29:37,FALSE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Nurse,Health and character declaration,TRUE,FALSE
"Bowker, Brandon",27L0021C,2019-03-15 13:58:55,FALSE,Midwife outside the UK,Yes,Deceased,Midwife,Written reflective accounts,FALSE,FALSE
"el-Soliman, Turki",31F3847G,2019-10-07 03:54:16,TRUE,Nurse inside the UK,No,Ill health,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Hammond, William",29X2127Z,2019-02-06 20:15:49,FALSE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Written reflective accounts,FALSE,TRUE
"Haynes, Deliah",28L0811W,2019-08-04 03:52:46,FALSE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Practice hours,TRUE,FALSE
"Tieu, Young Saeng",55P1835X,2019-11-10 23:19:46,TRUE,Midwife outside the UK,No,Deceased,Nurse,Practice hours,TRUE,TRUE
"al-Assaf, Iffat",33M7892H,2019-10-31 20:21:05,TRUE,Nurse inside the UK,No,Retirement,Midwife,Written reflective accounts,TRUE,FALSE
"el-Baig, Hamda",26R9413T,2019-08-21 03:56:42,TRUE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,Confirmation,FALSE,FALSE
"el-Bilal, Mudrik",54O9743X,2019-12-18 06:32:03,TRUE,Midwife in UK & have submitted intention to practise form,No,Does not meet the revalidation requirements,Nurse,Reflective discussion,TRUE,TRUE
"Riley, Kevin",62Y2779I,2019-11-17 01:44:48,TRUE,Nurse outside the UK,No,Deceased,Midwife,Practice-related feedback,FALSE,FALSE
"Munoz, Stephanie",03U1283P,2019-05-28 22:28:05,TRUE,Nurse outside the UK,No,Deceased,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Wallace, Olivia",85I3365D,2019-10-19 11:23:03,FALSE,Nurse outside the UK,Yes,Ill health,Nurse,Professional indemnity arrangement declaration,TRUE,TRUE
"al-Rahman, Abdul Jaleel",10Y1468R,2019-07-16 13:10:50,FALSE,Nurse outside the UK,Yes,Deceased,Midwife,Practice-related feedback,TRUE,TRUE
"Keenan, Taylor",54D9768X,2019-07-16 11:03:42,TRUE,Nurse outside the UK,No,Currently not practising / opted not to practise,Nurse,Reflective discussion,FALSE,TRUE
"Apodaca, Richard",61M8710B,2019-11-30 17:39:26,FALSE,Nurse outside the UK,No,Ill health,Midwife,Written reflective accounts,TRUE,TRUE
"Casias-Espinoza, Vanessa",96O2269V,2019-08-06 08:08:07,TRUE,Midwife in UK & have submitted intention to practise form,No,Ill health,Nurse,Written reflective accounts,FALSE,TRUE
"Pottorff, Nimesha",26U6499Q,2019-03-31 14:22:13,FALSE,Nurse outside the UK,Partial lapse,Deceased,Nurse,Confirmation,TRUE,FALSE
"Litt, Matthew",35M6655R,2019-01-03 12:45:35,FALSE,Nurse inside the UK,No,Deceased,Midwife,Practice-related feedback,FALSE,FALSE
"Briese, Kaila",84L2655B,2019-01-23 16:12:13,FALSE,Nurse outside the UK,No,Deceased,Midwife,CPD,FALSE,TRUE
"Guedeney, Carly",84F5396Z,2019-06-15 22:17:01,TRUE,Midwife in UK & have submitted intention to practise form,No,Ill health,Nurse,Practice hours,FALSE,FALSE
"Gebhardt, Jennifer",07V1801I,2019-03-17 23:50:09,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Nurse,Confirmation,TRUE,TRUE
"Graham, Nicholas",33K3491C,2019-06-21 20:31:14,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Midwife,Health and character declaration,FALSE,TRUE
"el-Yousif, Khairi",31I1293N,2019-07-09 07:55:42,FALSE,Nurse outside the UK,Yes,Retirement,Nurse,Practice hours,FALSE,FALSE
"Penny, Cedrick",66T0336K,2019-11-05 11:03:37,TRUE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Midwife,Written reflective accounts,FALSE,FALSE
"Moon, Pragna",98R3105I,2019-12-06 03:06:30,FALSE,Midwife in UK & have submitted intention to practise form,No,Deceased,Nurse,CPD,TRUE,FALSE
"Perkins, Kai-Ndamba",05R8713I,2019-01-10 11:23:16,TRUE,Nurse inside the UK,No,Ill health,Midwife,Reflective discussion,FALSE,FALSE
"Le, Shahida",72H2115U,2019-01-27 19:48:13,TRUE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,Professional indemnity arrangement declaration,FALSE,FALSE
"Vigil, Omar",55I4814Y,2019-07-27 21:40:37,FALSE,Midwife outside the UK,Partial lapse,Ill health,Nurse,Health and character declaration,TRUE,FALSE
"Tampubolon, Grae",15M9028M,2019-05-27 18:13:15,TRUE,Midwife in UK & have submitted intention to practise form,No,Ill health,Nurse,Health and character declaration,FALSE,FALSE
"Flores, Cinthia",14R9768K,2019-07-17 12:59:53,TRUE,Midwife outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Confirmation,TRUE,FALSE
"Mandakh, Jennifer",54P2885R,2019-11-07 16:29:43,FALSE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Cheung, Son",94J5547H,2019-10-12 19:17:14,FALSE,Nurse outside the UK,No,Does not meet the revalidation requirements,Midwife,Confirmation,FALSE,TRUE
"Garcia, Luis",55J1053F,2019-07-30 08:45:46,TRUE,Nurse inside the UK,Partial lapse,Deceased,Nurse,Practice hours,FALSE,FALSE
"Frazier, Miles",94B0007F,2019-05-23 03:08:10,TRUE,Nurse outside the UK,Yes,Deceased,Nurse,Confirmation,TRUE,FALSE
"el-Tabet, Farhaan",04W0460Y,2019-04-01 12:50:30,TRUE,Midwife in UK & have submitted intention to practise form,No,Currently not practising / opted not to practise,Nurse,CPD,TRUE,FALSE
"Self, Jarrett",27X3673V,2019-11-23 06:20:44,FALSE,Nurse inside the UK,No,Currently not practising / opted not to practise,Midwife,CPD,FALSE,FALSE
"Hubbs, Gracie",23K7173I,2019-09-20 11:22:42,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Nurse,Reflective discussion,TRUE,FALSE
"el-Ibrahim, Tareef",14R8107B,2019-04-19 00:32:10,FALSE,Nurse inside the UK,Partial lapse,Ill health,Midwife,Written reflective accounts,FALSE,TRUE
"Culpepper, Shelby",84I0344E,2019-07-14 14:44:40,FALSE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Health and character declaration,FALSE,FALSE
"Son, Rick",58E4568F,2019-01-01 12:55:39,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Nurse,CPD,TRUE,TRUE
"Bohlen, Seth",35T2184U,2019-10-16 02:45:03,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Reflective discussion,TRUE,TRUE
"Zeidler, Brooke",59A9339M,2019-10-30 06:54:26,FALSE,Nurse outside the UK,Partial lapse,Ill health,Midwife,Health and character declaration,FALSE,FALSE
"Hunt, Davena",01E2513G,2019-11-22 11:49:26,FALSE,Midwife outside the UK,No,Does not meet the revalidation requirements,Midwife,CPD,FALSE,FALSE
"Lee, Deanna",34U6065Z,2019-08-29 16:44:01,FALSE,Midwife outside the UK,Yes,Ill health,Midwife,Practice hours,TRUE,FALSE
"Mcclure, Ryan",22X2388O,2019-07-07 11:57:22,TRUE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Practice hours,FALSE,FALSE
"Anderson, Deidra",89H8160J,2019-10-26 14:00:09,FALSE,Nurse inside the UK,Yes,Retirement,Midwife,Confirmation,FALSE,FALSE
"Nuanes, Rocio",02U8355O,2019-01-24 04:32:00,FALSE,Nurse inside the UK,No,Does not meet the revalidation requirements,Midwife,Practice hours,TRUE,FALSE
"Lebeau, Bianca",22H0869G,2019-10-27 01:02:49,TRUE,Nurse inside the UK,Yes,Deceased,Midwife,Confirmation,FALSE,TRUE
"Casias-Espinoza, Vanessa",20Q7471X,2019-04-09 06:04:06,TRUE,Nurse outside the UK,No,Deceased,Nurse,Reflective discussion,TRUE,FALSE
"Sasaki, Andrew",44G1220R,2019-12-05 19:39:25,TRUE,Nurse outside the UK,No,Deceased,Nurse,Professional indemnity arrangement declaration,FALSE,FALSE
"al-Rahman, Abdul Jaleel",33Y7608F,2019-12-30 05:24:01,FALSE,Midwife outside the UK,Partial lapse,Deceased,Midwife,Health and character declaration,FALSE,TRUE
"Keith, Jessica",20W5742G,2019-10-01 08:09:00,FALSE,Midwife outside the UK,No,Retirement,Midwife,Written reflective accounts,FALSE,FALSE
"Cousins, Dominic",78X3436Y,2019-06-11 02:28:14,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Nurse,CPD,TRUE,TRUE
"Chambers, Ernie",18I9909P,2019-02-02 14:01:44,TRUE,Nurse inside the UK,Partial lapse,Deceased,Midwife,Reflective discussion,TRUE,FALSE
"el-Sultana, Saahira",64U9041I,2019-07-28 01:06:58,TRUE,Midwife outside the UK,No,Currently not practising / opted not to practise,Midwife,Reflective discussion,FALSE,FALSE
"Mandakh, Jennifer",61C8300Y,2019-04-20 13:52:19,FALSE,Midwife outside the UK,No,Retirement,Midwife,Written reflective accounts,TRUE,FALSE
"Febvre, Ashley",57V2781O,2019-05-27 13:25:53,FALSE,Midwife outside the UK,No,Ill health,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Borum, Marcus",37F6490F,2019-12-30 05:24:01,TRUE,Nurse inside the UK,Partial lapse,Deceased,Midwife,Confirmation,TRUE,TRUE
"Pham, Ross",94Z8426N,2019-01-28 07:57:10,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Nurse,Practice hours,TRUE,FALSE
"Johnson, Katelyn",13Z6204L,2019-03-01 12:21:22,FALSE,Midwife outside the UK,No,Ill health,Nurse,Health and character declaration,FALSE,TRUE
"Cordova, Kentasha",90G3534R,2019-02-06 12:26:08,FALSE,Midwife outside the UK,No,Does not meet the revalidation requirements,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"Corning, Jie",81S3948I,2019-11-30 11:00:21,FALSE,Nurse inside the UK,Partial lapse,Deceased,Midwife,Confirmation,TRUE,TRUE
"Villa, De'Ron",21E1220M,2019-08-23 14:51:28,TRUE,Nurse outside the UK,Yes,Deceased,Midwife,Practice-related feedback,FALSE,FALSE
"Almony, Phurba",57Y2099T,2019-08-09 01:02:50,FALSE,Midwife in UK & have submitted intention to practise form,No,Ill health,Nurse,Reflective discussion,FALSE,FALSE
"Valdez, Alex",07H1112C,2019-02-24 20:31:56,FALSE,Nurse inside the UK,Yes,Retirement,Nurse,Reflective discussion,FALSE,TRUE
"Amarsaikhan, Filitaa",32L3222P,2019-04-28 16:36:56,FALSE,Nurse inside the UK,Partial lapse,Retirement,Midwife,Reflective discussion,TRUE,FALSE
"el-Jafari, Qaaid",54N2893I,2019-04-29 21:29:37,FALSE,Midwife outside the UK,Yes,Currently not practising / opted not to practise,Nurse,CPD,TRUE,TRUE
"Weaver, Alex",27R4868P,2019-11-08 05:46:26,FALSE,Nurse outside the UK,Partial lapse,Deceased,Nurse,Written reflective accounts,FALSE,TRUE
"Balogh, Pedro",50V2733J,2019-01-16 01:48:32,TRUE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Lu, Shwetha",38M7465S,2019-07-05 05:07:41,TRUE,Nurse outside the UK,No,Currently not practising / opted not to practise,Midwife,CPD,TRUE,FALSE
"el-Kaba, Hawraa",39J0916Z,2019-11-11 03:26:21,FALSE,Nurse inside the UK,No,Retirement,Nurse,Health and character declaration,FALSE,TRUE
"Vaca, Daphanie",25A6263X,2019-08-17 04:22:28,FALSE,Nurse inside the UK,Partial lapse,Deceased,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Lares, Noella",66M8443B,2019-10-22 02:01:34,FALSE,Midwife outside the UK,Yes,Currently not practising / opted not to practise,Midwife,Health and character declaration,FALSE,FALSE
"Meza, Fernando",99K2805C,2019-05-12 00:49:50,TRUE,Nurse outside the UK,No,Deceased,Nurse,Confirmation,TRUE,FALSE
"Price, Chynna",75E9481Y,2019-07-29 08:48:42,FALSE,Midwife outside the UK,No,Does not meet the revalidation requirements,Midwife,Written reflective accounts,TRUE,TRUE
"Shrednik, Stephanie",43P1173T,2019-05-23 03:08:10,FALSE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Midwife,Practice hours,TRUE,FALSE
"Guill, David",99V5774N,2019-02-16 08:36:59,FALSE,Nurse inside the UK,No,Deceased,Midwife,Confirmation,TRUE,FALSE
"Stevenson, Fikiri",47S2865P,2019-07-21 15:47:39,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
"Flores Diaz, David",11A5950N,2019-05-23 10:02:55,TRUE,Nurse outside the UK,Partial lapse,Deceased,Nurse,Reflective discussion,TRUE,FALSE
"Novick, Desmond",69X1545E,2019-07-09 01:20:32,FALSE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Practice-related feedback,FALSE,TRUE
"Llamas, Mia",64Z4269X,2019-04-12 20:27:51,TRUE,Midwife outside the UK,Partial lapse,Deceased,Midwife,Health and character declaration,TRUE,TRUE
"Trujillo, Jonathan",02R1650Q,2019-03-31 00:26:52,FALSE,Nurse outside the UK,No,Deceased,Nurse,Health and character declaration,FALSE,FALSE
"Yepez, Ruben",46P7575Z,2019-05-18 15:21:41,FALSE,Midwife in UK & have submitted intention to practise form,No,Deceased,Nurse,Confirmation,FALSE,FALSE
"Rocca Weatherby, Leah",19V0970C,2019-09-21 08:56:18,FALSE,Midwife outside the UK,No,Currently not practising / opted not to practise,Nurse,Health and character declaration,TRUE,TRUE
"Namlong, Madina",56D8588C,2019-06-30 12:55:32,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,FALSE,FALSE
"Cdebaca, Jakob",71H7390Y,2019-07-05 16:02:28,FALSE,Nurse outside the UK,No,Currently not practising / opted not to practise,Nurse,Practice-related feedback,FALSE,TRUE
"al-Farah, Majdiyya",00V6048H,2019-04-23 03:02:19,FALSE,Nurse outside the UK,No,Does not meet the revalidation requirements,Midwife,Health and character declaration,TRUE,TRUE
"Pinelle, Justin",19V0970C,2019-11-12 03:15:29,FALSE,Midwife outside the UK,No,Retirement,Midwife,CPD,FALSE,TRUE
"Palizzi, Clayton",61Z5053V,2019-05-27 13:25:53,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Nurse,Confirmation,FALSE,TRUE
"Kochevar, Ella",65B9952A,2019-05-13 13:12:07,FALSE,Nurse outside the UK,No,Retirement,Midwife,Written reflective accounts,TRUE,TRUE
"Cross, Caleb",05S0652D,2019-03-14 19:40:59,FALSE,Nurse inside the UK,No,Ill health,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
"Zhen, Deisey",31P7927Y,2019-09-21 08:56:18,FALSE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,Reflective discussion,TRUE,FALSE
"Fejeran, Lily'Okalani",32X9022L,2019-09-30 02:28:44,TRUE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Midwife,Written reflective accounts,TRUE,FALSE
"al-Hoda, Nuha",92T2275U,2019-02-23 21:07:09,TRUE,Midwife outside the UK,No,Currently not practising / opted not to practise,Midwife,Reflective discussion,FALSE,FALSE
"Maestas, Michael",85H1667I,2019-06-26 20:53:54,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Nurse,Reflective discussion,TRUE,FALSE
"Miller, Deidra",31B5549E,2019-05-16 19:48:15,TRUE,Nurse outside the UK,No,Deceased,Nurse,CPD,FALSE,TRUE
