name,pin,joined,source_of_referral,reason_for_referral,allegation_type,employer_information
"Frank, Kaylee",64I8906U,2019-02-17 10:45:45,Member fo the public,Reason2,allegationtype2,
"Armstrong, Andrew",22W5016F,2019-07-03 08:05:37,Employer,Reason2,allegationtype2,Information from employer
"Varghese, Hunter",08G1578E,2019-04-09 10:38:50,Employer,Reason2,allegationtype1,Information from employer
"Marmolejo, Joseph",13T3777Y,2019-05-24 02:34:33,Employer,Reason2,allegationtype1,
"Proper, Vanessa",14A3708D,2019-05-29 06:54:08,Employer,Reason2,allegationtype1,Information from employer
"Smith, Joshua",21E4969I,2019-12-25 23:29:57,Employer,Reason1,allegationtype1,Information from employer
"al-Huda, Minnah",13E3346F,2019-01-22 14:44:52,Member fo the public,Reason1,allegationtype1,
"el-Shaikh, Manaal",45O1302M,2019-01-18 00:09:00,Employer,Reason1,allegationtype1,
"Geraldino, Iris",94O1198X,2019-06-09 10:40:29,Member fo the public,Reason1,allegationtype1,Information from employer
"Pourier, Samuel",08T7737N,2019-03-18 22:46:22,Employer,Reason2,allegationtype2,Information from employer
"Loya, Robert",49E4056Y,2019-10-21 06:48:06,Member fo the public,Reason1,allegationtype1,
"Ramamurthi, Isabel",34X9752O,2019-12-24 12:57:36,Employer,Reason2,allegationtype2,Information from employer
"Ramesh, Chiara",88P6265O,2019-06-01 18:25:27,Member fo the public,Reason2,allegationtype1,Information from employer
"Kramer, Lauren",56P2120D,2019-02-18 05:26:42,Employer,Reason2,allegationtype2,
"Donnellan, Kimberly",36T9239H,2019-06-26 17:35:57,Employer,Reason1,allegationtype1,
"Montoya, D'Ahnya",69J8669G,2019-07-08 16:14:25,Member fo the public,Reason2,allegationtype2,Information from employer
"Herrera, Estefany",30C6041N,2019-01-07 20:02:44,Member fo the public,Reason1,allegationtype2,
"Zoobi, Israel",28E2370P,2019-01-27 06:03:57,Member fo the public,Reason1,allegationtype2,
"New, Leroy",93V8837Y,2019-08-11 23:11:04,Member fo the public,Reason2,allegationtype2,Information from employer
"Huang, Socheata",79T1878Y,2019-07-20 10:55:48,Employer,Reason2,allegationtype2,
"Nobles, Kaitlyn",53A7418Y,2019-11-17 02:22:08,Employer,Reason1,allegationtype1,
"Asmerom, Bernard",14X6884P,2019-05-02 12:16:38,Member fo the public,Reason2,allegationtype2,Information from employer
"Quiban, Cole",38B9898K,2019-02-18 05:35:31,Employer,Reason2,allegationtype2,
"Petty, Elijah",40S1903L,2019-12-07 16:07:24,Employer,Reason1,allegationtype2,Information from employer
"Greenlees, Karina",27A3330M,2019-04-13 04:19:20,Employer,Reason2,allegationtype1,Information from employer
"Wong, Asmita",23D8743N,2019-12-04 04:27:52,Member fo the public,Reason2,allegationtype1,
"al-Masri, Maleeka",79L1994M,2019-06-01 02:01:38,Member fo the public,Reason1,allegationtype2,
"Watson, Shay'Aujanae",03K1920Y,2019-05-29 02:28:19,Employer,Reason2,allegationtype2,Information from employer
"el-Rizk, Samraa",50H8653C,2019-04-08 20:24:09,Employer,Reason1,allegationtype2,Information from employer
"Bell, Jessica",11F1378Q,2019-10-15 20:46:59,Employer,Reason2,allegationtype2,
"al-Mahdavi, Musfira",94P8821L,2019-04-06 03:30:35,Member fo the public,Reason1,allegationtype1,
"Fortes, Stephanie",59G3513U,2019-12-09 00:32:30,Member fo the public,Reason1,allegationtype2,
"Peck, Leandra",65X6329T,2019-05-30 23:36:27,Member fo the public,Reason1,allegationtype2,Information from employer
"Medicine Bear, Cheryl",03K4839D,2019-05-24 03:53:44,Employer,Reason2,allegationtype2,
"Ojeda, Karen",78X8376J,2019-10-25 03:23:28,Employer,Reason2,allegationtype2,
"Piazza, Derek",85O6169M,2019-02-23 22:15:21,Member fo the public,Reason1,allegationtype2,Information from employer
"Tuttle, Angad",88Q4323B,2019-07-21 15:47:39,Member fo the public,Reason1,allegationtype1,
"al-Can, Abdul Hameed",82S2255K,2019-08-10 21:35:30,Member fo the public,Reason2,allegationtype1,
"Lythgoe, Elijah",97B1282L,2019-11-11 13:40:27,Employer,Reason2,allegationtype1,Information from employer
"Zelenka, Elizabeth",74E2614B,2019-08-20 00:01:38,Member fo the public,Reason2,allegationtype1,Information from employer
"Mandujano, Sebastian",66G7780U,2019-10-31 18:00:23,Member fo the public,Reason1,allegationtype2,
"Bost, Kendra",44X9649I,2019-01-13 13:03:42,Employer,Reason1,allegationtype2,Information from employer
"Mitchell, Torrey",67C1505D,2019-03-25 21:14:09,Member fo the public,Reason1,allegationtype1,
"Devi, Maya",33A6526V,2019-10-30 20:29:27,Member fo the public,Reason2,allegationtype2,Information from employer
"Dyer, Edison",59B6804J,2019-05-23 04:07:58,Member fo the public,Reason1,allegationtype2,Information from employer
"Caldera, Silvia",55A2597J,2019-02-24 16:08:45,Employer,Reason1,allegationtype1,
"Fazio, Hannah",19X5334Q,2019-10-20 04:57:59,Member fo the public,Reason2,allegationtype2,
"Shoeboot, Tristin",52J3704C,2019-03-01 22:43:02,Employer,Reason2,allegationtype2,Information from employer
"al-Ismail, Saabiq",86C2408S,2019-05-28 10:57:22,Member fo the public,Reason2,allegationtype2,Information from employer
"Rohweder, Sumer",55Q7797F,2019-05-26 01:47:37,Member fo the public,Reason1,allegationtype2,
"Lumsden, Ruby",81W9237R,2019-02-05 07:57:10,Employer,Reason2,allegationtype1,
"Rojas, Cara",16B5342O,2019-09-06 02:22:06,Member fo the public,Reason2,allegationtype2,Information from employer
"Carrillo Romero, Natasha",00C4079T,2019-01-22 19:44:52,Member fo the public,Reason1,allegationtype2,
"al-Farman, Rushdi",05R9561D,2019-09-29 20:57:55,Employer,Reason1,allegationtype2,
"Willis, Haley",69N1454G,2019-04-28 16:04:55,Member fo the public,Reason1,allegationtype2,
"Ridley, Silas",18L1383V,2019-11-28 22:46:04,Employer,Reason1,allegationtype1,Information from employer
"Jackson, Darius",72O9792N,2019-07-24 00:34:48,Member fo the public,Reason2,allegationtype2,Information from employer
"Felberg, Hannah",24S2818Z,2019-12-12 09:39:17,Member fo the public,Reason2,allegationtype1,
"Graves, Aurora",62C8481L,2019-12-21 09:24:37,Member fo the public,Reason1,allegationtype2,
"al-Salih, Kanaan",36X1347K,2019-03-02 00:38:06,Employer,Reason2,allegationtype2,Information from employer
"Apodaca, Gabriel",70E1298C,2019-12-27 06:08:11,Member fo the public,Reason1,allegationtype1,
"Dudley, Lee",80L1670F,2019-03-29 19:21:34,Employer,Reason2,allegationtype2,
"Myers, Andrew",01E3041C,2019-05-05 18:56:38,Member fo the public,Reason2,allegationtype2,Information from employer
"Nguyen, William",58C7158X,2019-01-09 23:48:10,Member fo the public,Reason1,allegationtype1,Information from employer
"Monroe, Marvin",01E2513G,2019-06-29 22:07:34,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Abbas, Sahar",55J1053F,2019-04-17 00:28:58,Employer,Reason2,allegationtype2,
"el-Habib, Mujahid",46Z9152U,2019-04-01 21:32:53,Employer,Reason2,allegationtype2,
"Pace, Dawn",76Y4594X,2019-02-23 10:24:29,Employer,Reason1,allegationtype2,Information from employer
"Dejesus, Karina",28G5303E,2019-10-29 00:50:45,Member fo the public,Reason2,allegationtype2,
"el-Sani, Saabir",45X1426B,2019-08-20 20:40:39,Member fo the public,Reason1,allegationtype2,
"Choi, Anthony",46K2254X,2019-09-26 22:04:21,Employer,Reason1,allegationtype2,
"Garcia, Alyssa",66F2597Z,2019-02-13 22:27:16,Member fo the public,Reason1,allegationtype1,Information from employer
"Habtemicael, Shala",33U6854V,2019-04-09 05:31:45,Member fo the public,Reason1,allegationtype2,
"Hamilton, Natasha",96E2896N,2019-05-28 19:41:39,Member fo the public,Reason1,allegationtype1,
"Wolf, Benjamin",91S9899O,2019-05-27 13:28:21,Member fo the public,Reason1,allegationtype1,Information from employer
"el-Mansur, Mubashshir",97R0911W,2019-02-19 20:25:43,Member fo the public,Reason1,allegationtype1,Information from employer
"Hamlin, Rubecca",94T2563L,2019-03-06 17:26:07,Employer,Reason2,allegationtype1,
"Montellano-Rodriguez, Dezarey",77R7604O,2019-10-20 09:12:01,Employer,Reason2,allegationtype1,
"Hickman, Makenna",08V9336Y,2019-06-03 05:58:40,Member fo the public,Reason2,allegationtype1,
"Gonzalez, Caylan",02R1650Q,2019-08-23 08:04:02,Member fo the public,Reason1,allegationtype1,
"Vasquez, Marley",08E5391J,2019-03-31 03:36:21,Employer,Reason2,allegationtype1,
"Armendariz, Jazmin",39P4484G,2019-01-16 00:07:42,Member fo the public,Reason2,allegationtype2,
"Watt, Thomas Pablo",00T7866I,2019-08-19 06:19:53,Employer,Reason2,allegationtype1,
"Haralson, Parris",07U8495M,2019-11-26 15:21:01,Member fo the public,Reason2,allegationtype1,Information from employer
"Le, Adam",40K8730I,2019-07-13 18:48:25,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Salek, Annnees",47T1654I,2019-06-21 07:08:30,Employer,Reason1,allegationtype1,Information from employer
"Burrola-Caro, Destiny",31V3987Q,2019-11-03 13:34:52,Employer,Reason1,allegationtype2,Information from employer
"Quinones, Rey",03S9531Z,2019-01-02 23:46:31,Employer,Reason1,allegationtype1,Information from employer
"Trujillo, Ashley",69T2641F,2019-08-18 09:59:34,Employer,Reason2,allegationtype2,
"Gopalakrishnan, Tyler",88D7347Y,2019-08-05 10:04:30,Employer,Reason2,allegationtype1,Information from employer
"Rodrigues, Rachel",16Q7715L,2019-01-29 02:28:26,Member fo the public,Reason2,allegationtype2,Information from employer
"Quiban, Cole",06Y5095K,2019-01-05 02:44:52,Member fo the public,Reason1,allegationtype1,Information from employer
"Molock, Guem",57F1340Y,2019-05-04 21:50:11,Employer,Reason1,allegationtype1,Information from employer
"el-Gaber, Hiba",37A4678L,2019-09-07 07:26:17,Employer,Reason1,allegationtype2,Information from employer
"Garcia, Alyssa",01S6954Z,2019-08-05 09:57:15,Member fo the public,Reason2,allegationtype2,Information from employer
"Maldonado, Sadie",79W4560D,2019-04-28 20:39:32,Member fo the public,Reason1,allegationtype1,Information from employer
"Metts, Jeremy",03V8842B,2019-07-01 07:16:15,Employer,Reason1,allegationtype1,Information from employer
"Borrego, Santos",89X4534X,2019-08-09 18:16:49,Member fo the public,Reason2,allegationtype2,
"Samples, Mekinzi",98B9370F,2019-10-31 04:33:42,Member fo the public,Reason2,allegationtype2,
"Gallardo, Elias",39K9048L,2019-08-17 01:53:10,Member fo the public,Reason1,allegationtype1,Information from employer
"Colbert, Devaughn",16T8413E,2019-11-14 16:43:59,Member fo the public,Reason2,allegationtype2,
"el-Malik, Rayyaan",58J7968T,2019-05-06 13:46:03,Employer,Reason2,allegationtype1,
"Silby, Nia",64Y3420W,2019-12-29 07:35:11,Member fo the public,Reason1,allegationtype2,
"Pyka, Shawndel",66R0703G,2019-02-20 09:18:14,Employer,Reason1,allegationtype1,Information from employer
"Price, Taven",43K6651U,2019-07-04 18:50:08,Member fo the public,Reason2,allegationtype2,Information from employer
"Seiler, Tosha",45T2878E,2019-05-24 13:22:47,Employer,Reason2,allegationtype2,
"Berndt, Benjamin",77H4576G,2019-07-20 19:10:22,Employer,Reason2,allegationtype1,Information from employer
"Davis, Thomas",41R8182D,2019-03-07 06:01:36,Employer,Reason1,allegationtype2,Information from employer
"Marfil, Cody",66I3086F,2019-01-23 22:46:53,Member fo the public,Reason1,allegationtype1,
"al-Rad, Abdul Baari",74E2614B,2019-12-25 11:36:31,Member fo the public,Reason1,allegationtype1,Information from employer
"Chavez, Alexander",15H1876T,2019-03-12 08:35:31,Employer,Reason2,allegationtype1,Information from employer
"Jackson, Erik",65D8131D,2019-04-12 11:44:34,Employer,Reason2,allegationtype1,Information from employer
"Wilson, Katie-Lynne",12M6768V,2019-01-26 16:55:19,Employer,Reason2,allegationtype1,Information from employer
"Peil, Ashley",61Q9587D,2019-03-02 22:22:54,Member fo the public,Reason2,allegationtype2,Information from employer
"Ong, Mahdi",70N0557A,2019-10-23 19:52:06,Member fo the public,Reason2,allegationtype1,
"Farrar, Zaire",07I6730A,2019-06-11 16:29:47,Member fo the public,Reason1,allegationtype1,Information from employer
"Gregg, Tyrelle",47T2125Y,2019-10-26 04:36:11,Employer,Reason1,allegationtype1,Information from employer
"Githere, Alexis",02C7322W,2019-10-30 20:29:27,Employer,Reason1,allegationtype2,
"Nunez, Tobias",02W6606T,2019-02-04 16:21:30,Member fo the public,Reason1,allegationtype1,
"el-Sham, Muslim",34U1635J,2019-05-16 15:54:27,Member fo the public,Reason2,allegationtype1,Information from employer
"Culberson, Marissa",52P6656X,2019-03-10 08:59:58,Employer,Reason2,allegationtype1,Information from employer
"Son, Rick",62X5225E,2019-11-18 11:33:20,Member fo the public,Reason2,allegationtype2,Information from employer
"Hartman, Camden",31N2790Y,2019-12-13 20:41:45,Employer,Reason2,allegationtype1,
"Gibson, Daniel",00H9880S,2019-06-22 16:24:47,Employer,Reason1,allegationtype1,
"Schantzen, Tyler",90J5254S,2019-10-19 11:27:11,Employer,Reason2,allegationtype2,Information from employer
"Mcclelland, Jordan",11T1891Z,2019-06-07 11:58:15,Member fo the public,Reason1,allegationtype1,
"al-Hammoud, Afeef",16I4910M,2019-02-11 23:55:20,Member fo the public,Reason2,allegationtype2,
"Wilson, Katie-Lynne",67V0777A,2019-03-04 13:56:19,Member fo the public,Reason2,allegationtype2,
"Ellington, Riley",66U0288C,2019-02-21 15:57:46,Member fo the public,Reason2,allegationtype1,Information from employer
"Bindejo, Angelina",41A7596U,2019-05-21 20:54:28,Member fo the public,Reason1,allegationtype1,Information from employer
"Livesay, Robert",90S4876W,2019-05-12 13:34:27,Employer,Reason2,allegationtype2,Information from employer
"Vigil, Omar",92O2181X,2019-01-07 05:55:39,Member fo the public,Reason1,allegationtype1,
"Gatewood, Labon",16O5081B,2019-12-17 11:11:20,Member fo the public,Reason2,allegationtype1,
"Zotto, David",14I5902P,2019-06-21 17:39:20,Employer,Reason1,allegationtype2,
"Lopez-Ortiz, Alejandro",56R8747Y,2019-09-26 14:38:57,Member fo the public,Reason1,allegationtype1,
"Singh, Brittany",24T4540H,2019-02-19 06:03:12,Employer,Reason1,allegationtype1,
"Medina, Janett",35P7083L,2019-09-28 12:29:59,Member fo the public,Reason2,allegationtype1,
"Madachy, Ariel",80N5062J,2019-04-23 11:06:58,Employer,Reason1,allegationtype2,
"Romero, Francisco",22X9875W,2019-04-05 03:27:53,Employer,Reason1,allegationtype2,Information from employer
"Pastorini, Steven",39H8581C,2019-10-27 10:15:31,Member fo the public,Reason2,allegationtype2,
"Yeoman, Collin",63J6709E,2019-03-21 17:05:28,Employer,Reason1,allegationtype1,Information from employer
"Vue, Stephanie",31G4105D,2019-12-28 11:27:01,Employer,Reason2,allegationtype1,Information from employer
"Shrestha, Olivia",66S4203G,2019-08-07 18:18:20,Employer,Reason1,allegationtype1,Information from employer
"Payan, Orlando",89B2468Q,2019-11-25 12:53:54,Employer,Reason1,allegationtype1,
"el-Massoud, Ameera",90U7820I,2019-11-26 22:20:30,Employer,Reason2,allegationtype1,
"Adams, Mckenna",76C0248N,2019-12-11 07:53:57,Employer,Reason1,allegationtype1,Information from employer
"Santos, Rylan",31W5028A,2019-06-29 17:29:23,Employer,Reason2,allegationtype1,
"Clark, Allan",77F3357V,2019-03-21 13:30:43,Member fo the public,Reason1,allegationtype1,
"Lam, Kevin",33U6854V,2019-05-28 10:57:22,Member fo the public,Reason2,allegationtype1,Information from employer
"Mills, Monte Carlo",88B0372S,2019-06-08 12:53:30,Employer,Reason2,allegationtype1,
"Cdebaca, Jakob",35Z1313X,2019-12-17 14:05:00,Employer,Reason1,allegationtype1,
"Varghese, Hunter",84S9186Q,2019-07-01 07:16:15,Member fo the public,Reason1,allegationtype2,
"Watkins, Michael",79P5306V,2019-03-15 09:36:47,Employer,Reason2,allegationtype2,
"Archuleta, Damian",47W9125U,2019-12-13 16:39:45,Employer,Reason1,allegationtype1,
"al-Ayub, Fawz",62X5225E,2019-06-19 01:17:25,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Ameen, Naseera",08B3142Z,2019-03-06 16:24:45,Member fo the public,Reason1,allegationtype1,
"Villanueva, Cannon",72D7762A,2019-03-27 21:26:56,Employer,Reason2,allegationtype1,
"Kleist, Brittany",05Q7586Z,2019-09-14 01:55:06,Member fo the public,Reason1,allegationtype1,
"Johnson, Taran",08A9305Q,2019-10-05 12:38:52,Employer,Reason2,allegationtype1,Information from employer
"Bacon, Paul",58G5773X,2019-04-06 02:40:51,Member fo the public,Reason2,allegationtype2,
"Hernandez, Lorenzo",37T0580H,2019-07-14 23:25:04,Member fo the public,Reason1,allegationtype1,Information from employer
"Nesbit, Shawn",58A9754H,2019-04-20 08:05:54,Member fo the public,Reason2,allegationtype1,Information from employer
"Costigan, Elisa",75M0553B,2019-01-08 19:19:28,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Qazi, Nabeeha",11Y0952U,2019-10-14 15:44:20,Employer,Reason2,allegationtype1,Information from employer
"Hughes-Ball, Andrew",65T4704C,2019-11-15 19:12:04,Employer,Reason2,allegationtype2,
"Zatarain, David",16E6449C,2019-08-08 13:17:54,Employer,Reason1,allegationtype1,Information from employer
"Singh, Brittany",07W3861G,2019-01-12 07:23:15,Member fo the public,Reason1,allegationtype2,
"Hasbrouck, Shinji",49T1717V,2019-01-25 04:22:27,Employer,Reason2,allegationtype1,Information from employer
"Farley, Summer",44K9862B,2019-12-28 07:47:49,Member fo the public,Reason2,allegationtype1,
"Contreras, Ashley",45O8595T,2019-02-21 04:45:05,Employer,Reason1,allegationtype1,Information from employer
"Chen, Nartrina",03Z2780S,2019-01-03 22:33:12,Employer,Reason2,allegationtype2,Information from employer
"Serna, Manuel",48P0935C,2019-06-02 02:38:10,Member fo the public,Reason2,allegationtype1,Information from employer
"al-Hoda, Nuha",28P6032R,2019-01-02 21:06:03,Member fo the public,Reason2,allegationtype2,Information from employer
"Burges, Tanner",75K2245K,2019-03-20 02:35:28,Member fo the public,Reason2,allegationtype1,
"Medina, Perla",80Z7750X,2019-05-21 10:21:02,Employer,Reason1,allegationtype2,
"Johnson, Ayannah",17V8726Q,2019-03-31 03:36:21,Member fo the public,Reason1,allegationtype2,
"Montez, Amya",76C0248N,2019-08-06 16:22:52,Member fo the public,Reason1,allegationtype2,
"Elshani, Brooke",07B8482U,2019-11-24 11:22:57,Member fo the public,Reason1,allegationtype1,Information from employer
"Kills In Sight, Alejandro",90C3839R,2019-11-21 02:18:49,Employer,Reason2,allegationtype2,
"Stellick Mckenzie, Phillip",03V4209F,2019-07-10 10:16:22,Employer,Reason1,allegationtype1,
"Perez, Anna",96E3716D,2019-07-26 16:46:21,Member fo the public,Reason2,allegationtype1,
"Son, Rick",55T6381I,2019-05-27 11:12:28,Employer,Reason1,allegationtype2,Information from employer
"Castellanos, Raymond",78A2453B,2019-03-08 15:08:56,Employer,Reason1,allegationtype1,Information from employer
"Wooden, Janasia",33K1025N,2019-03-12 18:28:59,Member fo the public,Reason1,allegationtype2,Information from employer
"White, Michael",75O4191Z,2019-09-28 14:26:59,Member fo the public,Reason1,allegationtype1,
"Johnson, Davontay",87H3595R,2019-08-12 19:07:34,Employer,Reason2,allegationtype1,Information from employer
"Gilbert, Aleena",38D1388L,2019-10-28 04:35:15,Employer,Reason1,allegationtype2,Information from employer
"King, Kiana",25L6547M,2019-11-21 15:15:04,Employer,Reason2,allegationtype1,Information from employer
"Coleman, Dakota",95R8480U,2019-11-05 14:46:39,Employer,Reason2,allegationtype1,
"Garcia, Juan",06X2763N,2019-06-15 04:04:51,Member fo the public,Reason1,allegationtype2,Information from employer
"Whitehorse, William",70U4809O,2019-01-20 21:42:30,Employer,Reason1,allegationtype2,Information from employer
"Crockett, Tianna",43I9936U,2019-12-24 23:15:48,Employer,Reason1,allegationtype2,
"Fields, Dominique",58K4496N,2019-09-13 15:34:16,Member fo the public,Reason1,allegationtype1,Information from employer
"Mckitrick, Angel",41T8857Y,2019-01-17 00:53:21,Member fo the public,Reason2,allegationtype2,
"Perry, Trevon",06M0638K,2019-02-04 12:46:37,Employer,Reason1,allegationtype2,
"el-Mohammadi, Amaan",99V5774N,2019-11-25 13:42:49,Employer,Reason2,allegationtype1,Information from employer
"al-Samad, Wafaaa",51R7587X,2019-04-30 12:24:08,Employer,Reason1,allegationtype1,Information from employer
"Roebuck, Taniesha",84E8609N,2019-06-26 18:28:25,Member fo the public,Reason2,allegationtype1,Information from employer
"al-Raad, Rafeeqa",44N6429I,2019-02-19 07:19:46,Employer,Reason1,allegationtype2,
"Gonzalez, Montica",78Y2266U,2019-06-04 15:46:51,Member fo the public,Reason1,allegationtype1,Information from employer
"Dunbar, Caitlin",88Q7270C,2019-07-11 16:29:11,Employer,Reason1,allegationtype2,
"Thompson, Nico",74R2356L,2019-11-05 10:12:50,Employer,Reason2,allegationtype1,Information from employer
"Aguilar, Armando",78S1469U,2019-02-16 13:06:50,Member fo the public,Reason1,allegationtype2,
"Cotton, Diandre",50W6715L,2019-09-11 02:56:14,Employer,Reason1,allegationtype2,Information from employer
"Dodson, Michael",93B5647N,2019-04-01 02:17:24,Employer,Reason2,allegationtype2,Information from employer
"al-Abid, Shafeeqa",65J6285X,2019-08-11 23:11:04,Employer,Reason1,allegationtype1,
"Dentino, Ryan",29H9767L,2019-09-24 06:49:04,Member fo the public,Reason1,allegationtype1,Information from employer
"Martinez, Sergio",94J0568G,2019-01-18 07:07:39,Employer,Reason1,allegationtype1,Information from employer
"Thornock, Alexa",45Y5869K,2019-07-07 12:47:34,Employer,Reason1,allegationtype2,Information from employer
"Christenson, Sarah",85U4335Z,2019-05-28 10:57:22,Employer,Reason1,allegationtype1,
"al-Masood, Saajid",53M3110X,2019-11-04 06:28:57,Member fo the public,Reason1,allegationtype2,Information from employer
"Lujan, Kyla",01E3041C,2019-11-15 20:48:37,Employer,Reason2,allegationtype1,
"Zahid, Morgan",11X3895V,2019-08-12 10:20:33,Employer,Reason1,allegationtype2,Information from employer
"Vathanavarin, Chrisna",21T2670A,2019-03-07 16:47:52,Member fo the public,Reason2,allegationtype2,
"Ranson, Lydia",09C9063W,2019-09-26 16:23:30,Member fo the public,Reason2,allegationtype1,Information from employer
"Ju, Charell",06F1532M,2019-08-15 15:01:34,Employer,Reason1,allegationtype2,Information from employer
"Sveen, Brandon",25M9394H,2019-06-28 11:38:38,Employer,Reason2,allegationtype1,
"al-Mansoor, Mukarram",90E5291K,2019-11-23 00:05:35,Employer,Reason2,allegationtype2,
"Cureton, Jaime",77D0611F,2019-04-25 13:20:36,Member fo the public,Reason2,allegationtype1,Information from employer
"Conover, Cassie",05A0898N,2019-04-17 01:55:18,Member fo the public,Reason1,allegationtype2,
"el-Jamal, Safwaan",18O1867W,2019-10-04 06:51:56,Member fo the public,Reason2,allegationtype1,
"Romero, Paulina",38L1923W,2019-01-30 13:01:19,Employer,Reason2,allegationtype2,
"Eshima, Jasmine",95L4939P,2019-03-22 15:55:27,Employer,Reason1,allegationtype2,
"Ball, Adam",98K3809F,2019-02-21 21:34:36,Member fo the public,Reason1,allegationtype1,Information from employer
"Ohlig, Macy",65A5432R,2019-03-27 23:57:18,Member fo the public,Reason2,allegationtype1,
"Brown, Efrain",57K3496L,2019-04-22 19:37:47,Member fo the public,Reason1,allegationtype2,
"Zarlengo, Zachary",26R9591Y,2019-12-27 13:10:12,Employer,Reason2,allegationtype1,
"Deneau, Larry",96J5880J,2019-06-07 11:58:15,Employer,Reason2,allegationtype1,
"Rivera-Garfio, Antonio",72G0489U,2019-08-18 16:15:50,Member fo the public,Reason1,allegationtype2,
"Lieb, Alexander",93Q3947K,2019-01-16 18:40:57,Member fo the public,Reason2,allegationtype2,
"Chafin, Brandon",07B9681Q,2019-05-02 17:03:11,Member fo the public,Reason1,allegationtype1,Information from employer
"O'Connor, Matthew",39G3796L,2019-01-01 09:47:23,Member fo the public,Reason1,allegationtype2,
"Borrego, Santos",86T7627B,2019-05-20 09:38:00,Member fo the public,Reason2,allegationtype1,
"Beltran-Chairez, Guadalupe",81P3509C,2019-01-24 23:07:42,Member fo the public,Reason2,allegationtype1,Information from employer
"Muhammad, Khadijah",18F5889K,2019-12-24 09:56:50,Employer,Reason1,allegationtype1,
"Gopalakrishnan, Tyler",04O5300U,2019-04-20 20:55:30,Member fo the public,Reason2,allegationtype2,Information from employer
"Tousignant, Shane",68Q6882E,2019-08-08 21:25:24,Employer,Reason1,allegationtype2,Information from employer
"Estrada, Shannon",24M5035E,2019-02-04 11:57:53,Member fo the public,Reason1,allegationtype2,
"Wildman, Camron",70H3541H,2019-04-30 18:49:55,Employer,Reason1,allegationtype2,Information from employer
"el-Rashed, Rashaa",37E5759R,2019-06-23 16:52:33,Member fo the public,Reason1,allegationtype1,Information from employer
"el-Hasen, Dhaafir",73E5879C,2019-12-05 23:20:20,Member fo the public,Reason1,allegationtype2,
"Silverston, Karli",35W5684C,2019-08-14 09:16:23,Employer,Reason1,allegationtype2,Information from employer
"Elliott, Mckenzy",13F5125H,2019-10-30 20:48:24,Member fo the public,Reason2,allegationtype2,
"Lorenz, Sarah Anne",41K7453N,2019-04-14 22:39:27,Employer,Reason1,allegationtype2,
"Haro Tranquilino, Khalile",51W9488L,2019-01-29 00:06:12,Employer,Reason1,allegationtype1,
"Tipoti, Analicia",46W4597F,2019-08-31 11:50:16,Member fo the public,Reason1,allegationtype2,
"el-Bari, Aaish",83K8986I,2019-02-12 03:13:22,Member fo the public,Reason1,allegationtype2,Information from employer
"Stark-Clark, Jordan",98D4286V,2019-12-19 00:09:10,Employer,Reason1,allegationtype2,
"Hammer, Bailie",96E0914E,2019-01-22 22:01:38,Employer,Reason1,allegationtype1,Information from employer
"Kauffman, Rachel",69C2589G,2019-03-28 06:15:25,Member fo the public,Reason2,allegationtype1,Information from employer
"al-Lodi, Shafee'a",18V9893H,2019-06-02 18:29:35,Member fo the public,Reason1,allegationtype1,
"Yanito, Erin",41X0504J,2019-04-01 23:09:50,Member fo the public,Reason1,allegationtype2,
"Leon, Myron",21F1380J,2019-02-06 14:33:33,Employer,Reason2,allegationtype2,Information from employer
"Lin, David",98Y1840F,2019-02-11 20:50:12,Member fo the public,Reason1,allegationtype1,
"Crump, Lemich",85O4497U,2019-06-28 01:30:21,Member fo the public,Reason2,allegationtype1,Information from employer
"Schmid, Matthew",44M8424V,2019-08-15 15:32:07,Employer,Reason1,allegationtype2,
"Banos, Shelby",78X9381F,2019-08-25 05:03:22,Member fo the public,Reason2,allegationtype1,
"Garcia, Kayla",02P7713D,2019-06-19 11:27:31,Employer,Reason2,allegationtype2,Information from employer
"Flores Diaz, David",34P6145K,2019-08-30 22:07:26,Member fo the public,Reason1,allegationtype1,
"Salazar, Victoria",01R8953U,2019-03-01 16:57:40,Member fo the public,Reason2,allegationtype2,Information from employer
"Thomas, Howard",09A3444J,2019-04-25 08:34:49,Employer,Reason2,allegationtype1,Information from employer
"el-Dada, Saqr",32K3487S,2019-01-28 15:29:03,Employer,Reason2,allegationtype2,Information from employer
"Hoang, Kevin",87F5193X,2019-10-31 11:10:23,Member fo the public,Reason2,allegationtype2,
"Majekodunmi, Kiah",19F2084K,2019-05-27 01:20:53,Employer,Reason1,allegationtype2,
"Marshall, Chase",38I2914F,2019-07-10 14:54:54,Member fo the public,Reason1,allegationtype1,Information from employer
"Huynh, Sajesh",10A5142X,2019-08-06 15:52:44,Employer,Reason2,allegationtype1,
"Pickering, Poulami",78O2368S,2019-03-03 22:44:22,Employer,Reason1,allegationtype2,
"Makris, Mia",08K9938H,2019-09-24 06:55:36,Employer,Reason1,allegationtype1,
"al-Mahmud, Umaima",25L8517X,2019-12-20 22:49:44,Member fo the public,Reason2,allegationtype1,
"Chen, Kira",36S4075O,2019-11-08 08:20:34,Employer,Reason2,allegationtype2,Information from employer
