name,pin,joined,scope_of_practice,work_setting,employment_type,is_this_their_current_practice,employer_postcode,organisation_name,organisation_country
"Warner, Jackson",61D0948K,2019-10-03 23:18:20,Commissioning,Telephone or e-health advice,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
"Lane, Anasthasia",31B5549E,2019-09-03 03:54:58,Policy,Occupational health,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
"Kotwica, Kyle",86D8351I,2019-09-26 11:37:35,Research,Telephone or e-health advice,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Scotland
"Vaughn, Antquant",78W9986W,2019-02-28 16:54:51,Direct clinical care or management – adult and general care nursing,Policy organisation,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,England
"Munoz Beltran, Sasha",35Q2068F,2019-03-08 05:09:25,Direct clinical care or management – adult and general care nursing,Cosmetic or aesthetic sector,Employed via an agency,TRUE,testpostcode1,Test organisation 2,England
"al-Mussa, Silmi",75D1811N,2019-03-11 02:54:34,Direct clinical care or management – school nursing,Care home sector,Self employed,FALSE,testpostcode2,Test organisation 2,Wales
"Le, Alicia",76H4475W,2019-09-28 23:22:58,Direct clinical care or management – occupational health,Military,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,England
"Chester, Dustin",60Z1449U,2019-01-07 09:00:56,Direct clinical care or management – adult and general care nursing,Inspectorate or regulator,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
"Delmonte, Emily",17M7221J,2019-11-21 19:32:43,Direct clinical care or management – children’s and neo-natal nursing,Military,Volunteering,TRUE,testpostcode2,Test organisation 2,Scotland
"Dorado, Brianna",41O6604F,2019-05-27 01:20:53,Direct clinical care or management – school nursing,Police,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Scotland
"Allee, Hannah",07J7359X,2019-07-01 16:45:14,Research,School,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Outside UK
"Lemmons, Sheridan",02U2535S,2019-03-31 13:03:28,Other,University or other research facility,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Northern Ireland
"Guillory, Kinshasa",62Y1498N,2019-08-12 21:15:45,Other,School,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
"Swanson, Thomas",92M5602X,2019-11-17 03:26:42,Direct clinical care or management – occupational health,Trade union or professional body,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
"Bradshaw, Amy",71O0171G,2019-01-09 12:20:54,Direct clinical care or management – other,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
"Munch, Cody",83U7292D,2019-08-02 22:03:50,Education,Telephone or e-health advice,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Outside UK
"Yazzie, Alyssa",08J7936F,2019-05-24 22:56:03,Direct clinical care or management – mental health nursing,GP practice or other primary care,Volunteering,TRUE,testpostcode2,Test organisation 1,Outside UK
"Johnson, Davontay",02B2603P,2019-11-15 19:12:04,Quality assurance or inspection,Inspectorate or regulator,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Wales
"al-Hamed, Aarif",09Z3378F,2019-10-18 15:29:36,Direct clinical care or management – occupational health,Cosmetic or aesthetic sector,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
"Christenson, Sarah",10L7980N,2019-03-07 16:47:52,Direct clinical care or management – midwifery,Policy organisation,Self employed,TRUE,testpostcode1,Test organisation 1,Wales
"Xiong, Phally",95D8681Z,2019-03-15 01:12:16,Quality assurance or inspection,School,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Outside UK
"Montoya, Erick",68U3261P,2019-11-28 20:57:05,Education,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Scotland
"el-Jama, Fawz",25J1008C,2019-10-19 11:23:03,Direct clinical care or management – health visiting,Maternity unit or birth centre,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
"Graham, Nicholas",13Z7081H,2019-06-22 06:47:56,Direct clinical care or management – children’s and neo-natal nursing,Police,Self employed,TRUE,testpostcode1,Test organisation 1,Outside UK
"Hudson, Angel-Danielle",70P7809V,2019-01-21 01:34:43,Direct clinical care or management – other,Consultancy,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Northern Ireland
"Koontz, Navar",65C1132P,2019-12-07 03:50:08,Direct clinical care or management – health visiting,Hospital or other secondary care,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Scotland
"el-Amber, Sundus",52H3729W,2019-03-09 19:25:05,Direct clinical care or management – children’s and neo-natal nursing,Police,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Wales
"Lane, Chad",79S4482X,2019-09-07 07:26:17,Education,Voluntary or charity sector,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
"Esquibel, Vivian",64M5024Q,2019-01-10 07:14:54,Direct clinical care or management – school nursing,Maternity unit or birth centre,Volunteering,TRUE,testpostcode2,Test organisation 1,Northern Ireland
"Jojola, Shyanne",93Z0210N,2019-02-25 04:57:44,Direct clinical care or management – public health,School,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Outside UK
"Tyler, Courtland",12C8604L,2019-10-17 21:24:32,Direct clinical care or management – learning disabilities nursing,Occupational health,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Northern Ireland
"el-Jalil, Waheeba",77L2853M,2019-06-02 10:47:47,Direct clinical care or management – learning disabilities nursing,Occupational health,Volunteering,FALSE,testpostcode2,Test organisation 1,Northern Ireland
"Klein, Conor",75E9481Y,2019-07-02 01:49:50,Direct clinical care or management – other,Prison,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
"Okubo, Vasanth",89E7608P,2019-07-05 02:41:43,Direct clinical care or management – children’s and neo-natal nursing,Consultancy,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
"Calvillo-Trujillo, Samantha",97I1281O,2019-04-08 14:05:43,Direct clinical care or management – occupational health,Private domestic setting,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Outside UK
"Stevenson, Tyler",54M6114X,2019-01-03 12:32:58,Commissioning,Policy organisation,Volunteering,TRUE,testpostcode2,Test organisation 2,England
"Makris, Mia",70X3366J,2019-10-20 03:26:43,Direct clinical care or management – school nursing,Other,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Wales
"Hand, Kylina",05W1320Z,2019-10-24 22:27:33,Direct clinical care or management – other,Voluntary or charity sector,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,England
"Butler, Biag",40Z5304Y,2019-05-23 08:20:25,Direct clinical care or management – other,Cosmetic or aesthetic sector,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Wales
"Ho, David",58E0291S,2019-08-26 08:44:11,Policy,Occupational health,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Wales
"Woten, Morganne",07T4513S,2019-12-22 16:35:10,Direct clinical care or management – public health,GP practice or other primary care,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Northern Ireland
"el-Basa, Hadeel",60J3051H,2019-04-30 20:23:57,Commissioning,Prison,Volunteering,FALSE,testpostcode2,Test organisation 1,Outside UK
"Boone, Mara",51T4581G,2019-12-08 17:32:13,Quality assurance or inspection,Specialist or other tertiary care including hospice,Self employed,TRUE,testpostcode1,Test organisation 2,Scotland
"Starbuck, Jeanna",32M8053H,2019-04-15 11:34:27,Other,Other,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Outside UK
"Henderson, Jesus",12D8935Y,2019-01-15 08:40:48,Quality assurance or inspection,Cosmetic or aesthetic sector,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
"Dixon, Sarah",01S6954Z,2019-12-24 00:28:46,Direct clinical care or management – school nursing,Ambulance service,Volunteering,TRUE,testpostcode1,Test organisation 2,Northern Ireland
"Baker, Anerae",75O4471J,2019-11-14 19:09:21,Direct clinical care or management – public health,University or other research facility,Volunteering,FALSE,testpostcode2,Test organisation 2,Outside UK
"Le, Lian",03X9111M,2019-02-09 21:57:53,Quality assurance or inspection,Military,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
"Gaucin, Iain",56Q6454U,2019-01-13 03:45:37,Direct clinical care or management – learning disabilities nursing,Policy organisation,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
"Aguilar, Susana",14X6884P,2019-06-12 15:43:26,Policy,Military,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
"Berndt, Benjamin",20J1184C,2019-08-29 09:59:21,Direct clinical care or management – midwifery,Policy organisation,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Scotland
"Eckman, Kenny",63B6518A,2019-09-10 12:53:42,Direct clinical care or management – mental health nursing,Ambulance service,Self employed,TRUE,testpostcode1,Test organisation 2,Outside UK
"Wilcox, Miles",76B2244G,2019-02-05 00:05:18,Direct clinical care or management – mental health nursing,Public health organisation,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Northern Ireland
"al-Huda, Sumaita",57F4375M,2019-02-08 16:31:21,Direct clinical care or management – midwifery,Cosmetic or aesthetic sector,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Northern Ireland
"Yannacone, Elise",96W0629G,2019-07-22 11:54:03,Direct clinical care or management – public health,Other,Volunteering,FALSE,testpostcode1,Test organisation 2,Scotland
"Byers, Arianna",39P4484G,2019-02-26 13:06:57,Other,Ambulance service,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Wales
"Cosby Lee, Hanan",16H8568V,2019-12-29 07:35:11,Policy,"Community setting, including district nursing and community psychiatric nursing",Self employed,FALSE,testpostcode2,Test organisation 1,Outside UK
"Williams, Robyn",03K9420K,2019-04-19 16:21:11,Direct clinical care or management – other,Private domestic setting,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Northern Ireland
"el-Mahmoud, Muneefa",17D9794B,2019-11-18 11:33:20,Direct clinical care or management – health visiting,Prison,Self employed,TRUE,testpostcode2,Test organisation 1,Scotland
"Venegas, Veronica",72B3572O,2019-05-07 20:49:20,Direct clinical care or management – children’s and neo-natal nursing,Maternity unit or birth centre,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Outside UK
"Hart III, Tanner",79U0226R,2019-01-01 23:25:14,Direct clinical care or management – occupational health,Military,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Outside UK
"Lee, Madina",96S8511I,2019-03-02 05:46:05,Direct clinical care or management – school nursing,Police,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
"al-Hammoud, Afeef",47I8104R,2019-04-21 12:26:32,Direct clinical care or management – adult and general care nursing,Consultancy,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Outside UK
"Herrera, Sage",46J7187X,2019-02-06 18:10:42,Direct clinical care or management – learning disabilities nursing,School,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
"Albright, Morgan",75V7393K,2019-10-13 13:12:39,Policy,Inspectorate or regulator,Self employed,FALSE,testpostcode1,Test organisation 2,England
"Her, Erick",45E2445I,2019-03-15 11:19:58,Direct clinical care or management – public health,Policy organisation,Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
"Mcguire, Coby",80S9104S,2019-07-11 10:04:00,Policy,Cosmetic or aesthetic sector,Employed via an agency,FALSE,testpostcode2,Test organisation 1,England
"al-Shahidi, Hiba",37A6529K,2019-10-18 22:11:17,Commissioning,Other,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Outside UK
"al-Elbaz, Taamir",60V2586D,2019-10-01 04:51:43,Education,Police,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
"el-Abood, Kaatima",76R5812X,2019-03-24 12:40:14,Direct clinical care or management – school nursing,University or other research facility,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
"el-Jama, Fawz",70Z2894G,2019-08-17 12:13:35,Direct clinical care or management – midwifery,Prison,Volunteering,TRUE,testpostcode2,Test organisation 2,Wales
"Hopson, Alia",84J8365O,2019-09-30 23:51:45,Direct clinical care or management – mental health nursing,University or other research facility,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
"Kim, Christine",81K7514N,2019-05-30 18:50:05,Direct clinical care or management – public health,Governing body or other leadership,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Scotland
"Grayes, Lanora",69E9701C,2019-04-30 17:00:46,Direct clinical care or management – occupational health,Hospital or other secondary care,Self employed,FALSE,testpostcode1,Test organisation 2,England
"Keyer, Wallace",84W4289L,2019-07-12 03:33:14,Direct clinical care or management – occupational health,Telephone or e-health advice,Self employed,FALSE,testpostcode1,Test organisation 2,Northern Ireland
"Ingram, Davon",58M6900R,2019-07-22 06:02:55,Direct clinical care or management – adult and general care nursing,Telephone or e-health advice,Volunteering,TRUE,testpostcode2,Test organisation 2,Northern Ireland
"Flores, Cedryk",38M5114Z,2019-04-04 07:11:24,Direct clinical care or management – mental health nursing,Trade union or professional body,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Wales
"Doria, Quianah",30Y3424F,2019-02-16 00:16:09,Commissioning,Occupational health,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Outside UK
"Nuanes, Rocio",91V2750C,2019-11-02 14:20:35,Direct clinical care or management – mental health nursing,Voluntary or charity sector,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Northern Ireland
"Hall, Erika",35Y9650T,2019-06-03 14:26:06,Quality assurance or inspection,Insurance or legal,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
"Sarmiento, Marc",30C2511K,2019-08-13 14:28:42,Direct clinical care or management – children’s and neo-natal nursing,Policy organisation,Volunteering,FALSE,testpostcode1,Test organisation 1,Scotland
"Lucero, Jorge",18H1860W,2019-02-04 23:35:37,Direct clinical care or management – public health,Consultancy,Volunteering,TRUE,testpostcode1,Test organisation 2,Northern Ireland
"al-Ben, Ashraf",15R6155O,2019-09-06 02:22:06,Direct clinical care or management – school nursing,Occupational health,Self employed,FALSE,testpostcode1,Test organisation 2,England
"Tovar, Alexxis",45G4338Q,2019-05-28 13:15:17,Research,Private domestic setting,Employed via an agency,FALSE,testpostcode2,Test organisation 2,England
"Jenkins, David",28O8700J,2019-06-28 13:44:17,Direct clinical care or management – public health,Ambulance service,Self employed,TRUE,testpostcode1,Test organisation 1,England
"Stellick Mckenzie, Phillip",11S8365F,2019-11-03 13:34:52,Direct clinical care or management – children’s and neo-natal nursing,Private domestic setting,Volunteering,TRUE,testpostcode2,Test organisation 2,Scotland
"Stroud, Megan",82G3255A,2019-05-25 22:30:07,Education,Voluntary or charity sector,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
"Shea, Leander",42N5455N,2019-03-17 20:44:38,Direct clinical care or management – learning disabilities nursing,Public health organisation,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
"Easley, Jared",11S6490Q,2019-06-05 03:14:20,Direct clinical care or management – health visiting,Trade union or professional body,Self employed,FALSE,testpostcode2,Test organisation 1,Wales
"Williams, Elias",94A0485R,2019-09-03 15:20:27,Direct clinical care or management – other,Maternity unit or birth centre,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
"Ackelson, Dallas",18H8625H,2019-09-13 06:03:06,Research,Trade union or professional body,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Outside UK
"Nugent, Maxwell",71F5244Q,2019-09-24 18:41:16,Research,Care home sector,Self employed,TRUE,testpostcode2,Test organisation 1,Northern Ireland
"al-Naim, Shaqeeqa",94L5409C,2019-02-14 21:15:55,Other,Inspectorate or regulator,Self employed,FALSE,testpostcode2,Test organisation 2,Northern Ireland
"Herrera, Jennifer",14T6736Y,2019-02-27 01:47:50,Other,Prison,Self employed,FALSE,testpostcode2,Test organisation 2,Wales
"Tharpe, Fanio",52H7453M,2019-01-28 11:23:23,Commissioning,Hospital or other secondary care,Self employed,TRUE,testpostcode2,Test organisation 2,Wales
"Smith, Damarcus",32V2520U,2019-02-09 08:02:51,Commissioning,Consultancy,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Northern Ireland
"Jackson, Quincy",02X0912A,2019-07-05 12:13:19,Direct clinical care or management – learning disabilities nursing,Ambulance service,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Outside UK
"Cho, Shana",94J5547H,2019-05-02 12:47:00,Direct clinical care or management – midwifery,Cosmetic or aesthetic sector,Self employed,FALSE,testpostcode1,Test organisation 2,Northern Ireland
"Rice, Roderick",44U3133M,2019-12-19 04:34:03,Direct clinical care or management – public health,Maternity unit or birth centre,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Outside UK
"Mcclelland, Jordan",54P2885R,2019-03-27 23:16:18,Commissioning,Consultancy,Self employed,FALSE,testpostcode1,Test organisation 2,England
"el-Musa, Nawaar",85I7631T,2019-08-10 21:22:02,Direct clinical care or management – other,Care home sector,Self employed,FALSE,testpostcode2,Test organisation 2,England
"Mccoy, Michael",45T8974G,2019-04-09 16:31:49,Direct clinical care or management – adult and general care nursing,Governing body or other leadership,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
"Pettersson, Molly",07T4513S,2019-08-28 14:02:47,Direct clinical care or management – learning disabilities nursing,Other,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
"Alemu, Auzjarae",05R5793K,2019-05-21 14:32:34,Direct clinical care or management – learning disabilities nursing,Military,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Scotland
"Rhodes, Kelly",02L3892D,2019-12-06 01:31:39,Direct clinical care or management – other,GP practice or other primary care,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
"Mascarenas, Antonio",03N3473O,2019-11-17 21:12:20,Direct clinical care or management – adult and general care nursing,GP practice or other primary care,Volunteering,TRUE,testpostcode2,Test organisation 2,Outside UK
"Rener, Sabryina",89G9700X,2019-09-18 13:24:15,Direct clinical care or management – mental health nursing,Police,Volunteering,TRUE,testpostcode1,Test organisation 1,England
"Cannady, Andre",42A3649L,2019-01-18 02:01:39,Direct clinical care or management – other,Telephone or e-health advice,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Scotland
"White, Michael",56R8747Y,2019-12-10 23:24:40,Direct clinical care or management – occupational health,School,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Scotland
"Lobato, Jeremy",39T7594T,2019-01-04 13:33:25,Direct clinical care or management – adult and general care nursing,University or other research facility,Employed via an agency,FALSE,testpostcode1,Test organisation 1,England
"al-Azzam, Insaaf",15B5262U,2019-04-05 00:19:28,Policy,Maternity unit or birth centre,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
"al-Bilal, Shaahida",02G5726M,2019-04-01 17:33:48,Commissioning,Trade union or professional body,Volunteering,TRUE,testpostcode1,Test organisation 1,Scotland
"Cruz, Mara",91I0950S,2019-06-09 18:44:00,Commissioning,Hospital or other secondary care,Volunteering,FALSE,testpostcode2,Test organisation 2,Outside UK
"al-Zadeh, Ghaada",66G7780U,2019-06-03 09:16:10,Direct clinical care or management – learning disabilities nursing,Private domestic setting,Volunteering,FALSE,testpostcode2,Test organisation 2,Outside UK
"Cundiff, Levi",62I9936X,2019-11-21 20:48:38,Other,Occupational health,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Wales
"al-Obeid, Shakeela",40H6050Y,2019-07-21 07:43:39,Direct clinical care or management – other,School,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Wales
"al-Mahdavi, Musfira",63S7088Z,2019-08-23 04:58:35,Direct clinical care or management – mental health nursing,"Community setting, including district nursing and community psychiatric nursing",Self employed,TRUE,testpostcode2,Test organisation 2,England
"Warren, Kara",48J5823H,2019-11-21 02:18:49,Research,School,Self employed,TRUE,testpostcode1,Test organisation 1,England
"Holiday, Amanda",31X7632A,2019-08-08 18:14:44,Quality assurance or inspection,Policy organisation,Volunteering,FALSE,testpostcode1,Test organisation 2,England
"Fielder, Jennifer",03Z1034K,2019-01-18 01:00:05,Commissioning,Other,Volunteering,TRUE,testpostcode2,Test organisation 1,England
"Perez, Daniel",03Z2780S,2019-01-17 15:42:54,Other,Ambulance service,Self employed,FALSE,testpostcode2,Test organisation 1,Wales
"Lariz, Dominic",78B5000P,2019-08-23 04:58:35,Direct clinical care or management – mental health nursing,Other,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
"Dominguez Olivas, Karen",78X7129H,2019-06-30 22:09:42,Direct clinical care or management – other,Occupational health,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Scotland
"Snider, Joshua",46G5947O,2019-06-26 20:53:54,Direct clinical care or management – public health,Occupational health,Self employed,FALSE,testpostcode2,Test organisation 1,Northern Ireland
"Vaile, Christian",06B0199T,2019-09-23 18:40:36,Direct clinical care or management – occupational health,School,Volunteering,TRUE,testpostcode2,Test organisation 1,Outside UK
"Lane, Anasthasia",80J0603K,2019-02-18 16:02:57,Direct clinical care or management – public health,Trade union or professional body,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Outside UK
"Taplin, Alyssa",00B7980K,2019-11-26 02:22:22,Direct clinical care or management – midwifery,School,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
"Aguilar, Erick",17M7221J,2019-06-13 23:03:51,Policy,Hospital or other secondary care,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
"Trojahn, Junbian",12L3894K,2019-01-04 19:09:45,Policy,Hospital or other secondary care,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
"Montellano-Rodriguez, Dezarey",27C7665S,2019-01-29 21:02:29,Direct clinical care or management – school nursing,Inspectorate or regulator,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
"al-Farah, Huda",24K2540U,2019-09-28 05:32:17,Direct clinical care or management – school nursing,Trade union or professional body,Self employed,TRUE,testpostcode1,Test organisation 2,Scotland
"Villa, De'Ron",33M1923M,2019-01-21 10:37:05,Direct clinical care or management – adult and general care nursing,Military,Volunteering,TRUE,testpostcode1,Test organisation 2,England
"el-Shariff, Labeeb",78V1374O,2019-01-19 23:42:34,Direct clinical care or management – occupational health,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode1,Test organisation 2,Wales
"Abercrombie, Joshua",25D0447U,2019-02-06 23:51:10,Direct clinical care or management – learning disabilities nursing,Ambulance service,Self employed,TRUE,testpostcode1,Test organisation 1,Wales
"Garza, Olivia",29F7233X,2019-10-20 09:12:01,Direct clinical care or management – school nursing,Police,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
"Fitts, Kelsey",47R8111K,2019-07-30 12:01:44,Commissioning,Care home sector,Volunteering,FALSE,testpostcode1,Test organisation 1,Scotland
"Diedrich, Tanay",16E6449C,2019-09-02 11:24:48,Direct clinical care or management – children’s and neo-natal nursing,Police,Self employed,FALSE,testpostcode2,Test organisation 2,Northern Ireland
"Chaca, Candace",64G1007R,2019-01-09 01:47:32,Direct clinical care or management – health visiting,Other,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,England
"el-Bina, Warda",00C4079T,2019-06-10 17:21:59,Direct clinical care or management – children’s and neo-natal nursing,Policy organisation,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
"Thompson, Jason",59I3233B,2019-04-29 04:05:18,Direct clinical care or management – adult and general care nursing,Prison,Self employed,FALSE,testpostcode1,Test organisation 1,Outside UK
"al-Ahmadi, Nazmi",82W0230E,2019-02-03 13:01:39,Direct clinical care or management – learning disabilities nursing,Governing body or other leadership,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Northern Ireland
"Pina-Estrada, Garrett",89Y6520O,2019-07-03 22:04:23,Commissioning,Specialist or other tertiary care including hospice,Self employed,TRUE,testpostcode1,Test organisation 1,Wales
"el-Khalaf, Luqmaan",33O4878Q,2019-02-05 15:01:40,Direct clinical care or management – health visiting,Policy organisation,Employed via an agency,FALSE,testpostcode2,Test organisation 1,England
"el-Masri, Khulood",95P6141X,2019-06-07 02:24:37,Direct clinical care or management – mental health nursing,Trade union or professional body,Volunteering,TRUE,testpostcode1,Test organisation 1,England
"Sevenski, Tyler",04M0717E,2019-04-28 16:36:56,Direct clinical care or management – health visiting,Governing body or other leadership,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,England
"Woten, Morganne",82A2620D,2019-10-14 23:04:15,Direct clinical care or management – learning disabilities nursing,Prison,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
"al-Saeed, Fareeda",92E4233H,2019-08-07 19:53:50,Direct clinical care or management – health visiting,Voluntary or charity sector,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
"John, Taylor",44M7882J,2019-08-07 23:01:51,Quality assurance or inspection,Occupational health,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
"Diep, Cheemeng",35R0461I,2019-05-25 21:56:40,Direct clinical care or management – adult and general care nursing,Prison,Self employed,TRUE,testpostcode1,Test organisation 2,Outside UK
"Medina, Giovanni",37B9857T,2019-07-19 11:43:43,Commissioning,Care home sector,Employed via an agency,TRUE,testpostcode1,Test organisation 1,England
"Filippazzo, Jamie",44K9862B,2019-09-28 17:21:41,Direct clinical care or management – public health,Other,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Northern Ireland
"al-Sarwar, Raaji",84B0328E,2019-07-05 16:19:21,Commissioning,Trade union or professional body,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Northern Ireland
"Castellanos, Raymond",55A2597J,2019-02-11 16:45:49,Direct clinical care or management – learning disabilities nursing,Voluntary or charity sector,Volunteering,FALSE,testpostcode1,Test organisation 2,Northern Ireland
"Romero, Adrian",28T8555Y,2019-01-09 12:57:57,Direct clinical care or management – children’s and neo-natal nursing,Military,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Outside UK
"Mahowald, Alli",71Z1893D,2019-03-09 06:27:03,Direct clinical care or management – public health,Military,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
"Habimana, Taylor",99U0140C,2019-02-05 20:55:08,Direct clinical care or management – health visiting,Hospital or other secondary care,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
"Bluejacket, Davidray",73S9523S,2019-11-15 20:48:37,Education,Cosmetic or aesthetic sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Scotland
"Hasbrouck, Shinji",91B3288C,2019-01-26 16:55:19,Direct clinical care or management – public health,Policy organisation,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
"Martinez, Lahana",56O4070Y,2019-12-30 20:20:23,Direct clinical care or management – midwifery,GP practice or other primary care,Volunteering,FALSE,testpostcode1,Test organisation 1,Outside UK
"Palmer, Audreon",79W8446X,2019-03-03 13:09:09,Direct clinical care or management – school nursing,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Northern Ireland
"Macias, Skyy",01A3161G,2019-11-10 23:19:46,Other,Trade union or professional body,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
"al-Abid, Fawqiyya",47Y4450I,2019-05-07 23:21:53,Direct clinical care or management – children’s and neo-natal nursing,Insurance or legal,Volunteering,TRUE,testpostcode1,Test organisation 1,Wales
"el-Nawaz, Shukri",37W2453G,2019-07-19 12:10:32,Direct clinical care or management – midwifery,Military,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
"Jones, Brent",03L6362G,2019-08-04 00:37:50,Direct clinical care or management – children’s and neo-natal nursing,Consultancy,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
"Brown, Omar",89K3995T,2019-08-31 23:21:58,Direct clinical care or management – adult and general care nursing,Prison,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
